"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1236","宏亞",38.43,144.42,144.97,95.67,4.64,4.21,86.69,5.24,69.65,1.20,0.67,0.71,0.90,1.63,0.85,0.15,25.03,101.47,2.43
"1310","台苯",22.30,188.22,178.02,142.51,125.10,13.56,26.91,18.94,19.27,3.01,1.23,8.97,11.80,19.60,7.22,1.67,52.39,129.38,-0.73
"1337","再生-KY",7.78,213.16,607.08,552.35,-69.42,4.56,80.04,6.26,58.30,0.36,0.16,-7.67,-7.58,-9.18,-51.02,-2.39,64.40,149.37,-3.35
"1452","宏益",7.60,370.73,1198.86,996.43,4746.49,6.77,53.91,4.95,73.73,2.70,0.70,6.42,7.04,16.10,9.18,1.33,86.92,102.09,-1.53
"1456","怡華",76.13,5721.68,167.90,21.94,142.20,6.69,54.55,0.33,1106.06,17.62,0.21,1.46,2.15,2.73,2.40,0.27,0.03,0.10,0.01
"1528","恩德",52.91,230.97,150.62,86.08,-6.67,3.38,107.98,1.98,184.34,3.66,0.77,-4.51,-10.97,-13.85,-6.56,-1.39,21.42,22.11,14.52
"1560","中砂",41.89,177.14,177.74,92.81,9833.66,5.84,62.50,2.59,140.92,1.51,0.67,7.49,11.78,48.67,11.08,3.81,58.62,68.45,5.65
"1582","信錦",42.95,509.07,202.08,177.59,7125.43,2.46,148.37,8.47,43.09,7.00,0.86,10.38,16.72,116.79,10.98,7.61,29.75,116.61,4.96
"1626","艾美特-KY",66.19,213.42,104.29,61.01,4.67,5.78,63.14,3.88,94.07,5.38,1.14,3.78,9.23,23.59,2.48,2.05,29.97,236.35,36.03
"1707","葡萄王",34.23,132.47,109.11,86.89,138.94,48.63,7.50,2.91,125.42,1.49,0.84,17.75,26.92,179.04,20.98,9.63,77.27,89.90,7.10
"1713","國化",6.27,653.51,2729.86,2285.05,0.00,5.64,64.71,3.36,108.63,1.66,0.24,3.91,4.18,6.51,16.26,0.64,-13.14,6.90,-4.00
"1731","美吾華",35.74,457.90,238.05,208.75,26.24,1.60,228.12,2.10,173.80,2.45,0.40,3.87,5.78,10.14,9.13,0.76,32.85,108.86,6.56
"1773","勝一",29.61,149.61,117.44,71.50,239.21,6.51,56.06,6.16,59.25,2.64,1.15,13.58,18.19,72.37,11.79,5.90,60.12,84.55,4.90
"1906","寶隆",32.17,11429.58,12.84,11.89,8.72,18.01,20.26,59.96,6.08,34.26,0.22,2.35,3.20,8.73,9.53,0.80,4.18,131.14,-0.34
"1909","榮成",68.28,97.21,67.34,46.69,1.29,4.07,89.68,11.44,31.90,1.12,0.69,2.67,2.28,3.06,1.05,0.45,20.56,43.20,9.98
"2006","東和鋼鐵",49.04,162.97,146.83,32.32,7.80,13.46,27.11,2.75,132.72,2.22,0.94,3.73,6.45,21.14,3.47,1.56,24.46,29.59,4.83
"2014","中鴻",52.17,174.95,108.31,24.69,1.08,49.23,7.41,5.23,69.78,3.13,1.26,0.34,0.07,0.07,0.02,0.01,29.55,167.45,5.03
