"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔固定資產比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力->應收款項收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-固定資產週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-股東權益報酬率(%)","獲利能力-營業利益佔實收資本比率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1101","台泥",31.12,212.20,279.67,249.72,13.38,5.57,65.52,15.67,23.29,0.65,0.27,7.72,11.14,10.33,22.10,26.38,2.20,138.58,258.59,2.84
"1102","亞泥",26.23,1007.50,152.38,98.90,27.90,9.08,40.19,5.09,71.70,1.51,0.14,9.90,13.13,10.17,30.76,64.46,2.85,175.26,203.92,2.95
"1103","嘉泥",28.16,3963.54,225.45,215.92,2397.01,6.31,57.84,43.48,8.39,5.67,0.13,15.16,21.26,2.09,42.60,100.64,5.20,0.00,72.24,0.00
"1104","環泥",27.74,371.03,187.97,129.65,14.17,3.81,95.80,5.33,68.48,0.98,0.22,4.68,6.25,-0.76,13.24,19.88,1.25,26.65,81.03,1.85
"1108","幸福",40.24,202.94,80.73,50.51,7.21,5.56,65.64,5.05,72.27,1.77,0.52,4.12,6.12,7.87,6.75,6.97,0.67,22.78,102.93,3.77
"1109","信大",9.61,328.12,891.51,793.59,10812.75,9.05,40.33,4.94,73.88,1.18,0.34,9.61,10.65,10.90,17.89,28.11,1.50,170.17,66.11,3.97
"1110","東泥",15.28,157.45,304.71,160.94,1847.58,6.12,59.64,3.18,114.77,0.35,0.19,0.75,0.83,3.91,2.15,3.62,0.12,78.77,120.33,0.15
"1201","味全",59.24,116.06,102.91,74.05,6.91,7.70,47.40,10.14,35.99,2.18,1.05,5.25,11.62,13.87,9.33,4.25,0.89,26.23,148.34,5.72
"1203","味王",37.16,466.77,135.19,46.80,-6.26,6.27,58.21,2.03,179.80,1.55,0.33,-2.36,-4.24,2.57,-7.42,-8.13,-0.67,19.53,564.16,4.14
"1210","大成",43.15,368.70,128.00,74.00,16.19,7.94,45.96,8.06,45.28,7.65,1.40,8.74,14.57,10.27,23.60,5.51,2.28,28.96,157.14,6.23
"1213","大飲",24.98,309.33,277.15,251.33,2.30,3.74,97.59,16.79,21.73,3.93,0.95,-0.03,-0.17,-0.59,0.24,-0.13,-0.02,3.08,134.75,0.52
"1215","卜蜂",29.34,312.67,233.04,146.44,13.99,8.34,43.76,11.59,31.49,10.45,2.41,4.75,6.48,8.64,8.10,1.84,0.68,70.83,117.14,13.16
"1216","統一",42.30,595.35,126.99,73.13,7.51,8.73,41.80,10.89,33.51,3.24,0.55,5.14,8.00,4.74,11.15,8.42,1.08,62.06,106.53,2.93
"1217","愛之味",52.73,327.50,92.04,53.45,-1.38,6.58,55.47,4.22,86.49,2.48,0.56,-1.86,-6.59,1.20,-8.47,-5.69,-0.69,15.89,36.64,4.09
"1218","泰山",50.94,632.54,165.17,97.94,0.04,4.92,74.18,7.38,49.45,2.22,0.68,-0.29,-2.40,1.76,-2.40,-1.73,-0.27,4.52,22.48,1.26
"1219","福壽",32.51,218.32,290.68,195.19,8.14,7.13,51.19,6.42,56.85,3.47,1.11,2.14,2.80,4.13,4.78,1.69,0.36,14.00,152.27,1.27
"1220","台榮",29.12,258.52,224.60,165.12,423.96,4.06,89.90,7.80,46.79,3.55,0.97,4.77,5.29,2.20,5.89,3.76,0.51,5.10,49.61,0.71
"1225","福懋油",53.52,217.63,111.09,74.16,0.32,6.05,60.33,9.63,37.90,5.33,1.43,0.43,-1.45,1.62,-2.34,-0.47,-0.16,0.00,26.37,0.00
"1227","佳格",24.24,428.88,254.89,131.24,25.06,5.16,70.73,3.78,96.56,4.81,0.95,4.17,5.58,17.46,11.05,4.18,0.78,71.94,240.27,4.42
"1229","聯華",12.67,1244.09,156.29,81.25,64.82,5.22,69.92,3.65,100.00,1.78,0.13,8.29,9.59,0.36,18.03,54.00,1.78,141.67,97.41,3.84
"1231","聯華食",36.60,293.61,217.10,94.93,3.67,7.25,50.34,3.59,101.67,4.88,1.21,2.38,2.88,11.97,5.00,1.48,0.42,32.89,84.36,5.34
"1232","大統益",34.65,182.55,156.93,65.94,21.33,16.51,22.10,9.72,37.55,6.60,2.55,10.79,16.28,28.53,31.16,4.04,2.39,47.35,90.20,6.04
"1233","天仁",35.06,121.59,140.31,83.26,6902.63,7.86,46.43,2.90,125.86,1.86,1.00,8.50,12.82,18.15,18.55,8.46,1.70,52.12,89.03,6.24
"1234","黑松",11.80,407.81,345.01,283.83,16058.13,7.35,49.65,10.49,34.79,1.34,0.31,1.07,1.23,1.00,2.40,3.54,0.21,77.87,88.65,0.89
"1235","興泰",30.01,495.74,291.81,257.92,2.75,2.07,176.32,7.41,49.25,4.36,0.71,2.31,2.33,-0.26,3.54,2.26,0.36,67.10,60.59,10.90
