"109年04月14日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","11,788.33","+","263.31","2.28","",
"發行量加權股價指數","10,332.94","+","233.72","2.31","",
"臺灣公司治理100指數","5,932.40","+","134.84","2.33","",
"臺灣50指數","8,031.29","+","186.97","2.38","",
"臺灣50權重上限30%指數","7,915.42","+","184.99","2.39","",
"臺灣中型100指數","7,605.54","+","200.64","2.71","",
"臺灣資訊科技指數","11,646.21","+","278.84","2.45","",
"臺灣發達指數","7,399.14","+","171.10","2.37","",
"臺灣高股息指數","6,095.31","+","123.52","2.07","",
"臺灣就業99指數","5,944.10","+","146.65","2.53","",
"臺灣高薪100指數","5,629.96","+","121.29","2.20","",
"未含金融指數","8,730.03","+","195.87","2.30","",
"未含電子指數","13,003.82","+","263.81","2.07","",
"未含金融電子指數","10,617.96","+","197.61","1.90","",
"小型股300指數","5,842.64","+","110.51","1.93","",
"水泥窯製類指數","562.16","+","10.53","1.91","",
"塑膠化工類指數","704.44","+","15.99","2.32","",
"機電類指數","2,554.59","+","61.94","2.48","",
"水泥類指數","159.47","+","3.02","1.93","",
"食品類指數","1,669.95","+","9.72","0.59","",
"塑膠類指數","214.80","+","5.22","2.49","",
"紡織纖維類指數","435.04","+","10.66","2.51","",
"電機機械類指數","164.98","+","3.92","2.43","",
"電器電纜類指數","43.54","+","0.41","0.95","",
"化學生技醫療類指數","86.22","+","1.49","1.76","",
"化學類指數","89.85","+","1.52","1.72","",
"生技醫療類指數","56.91","+","1.00","1.79","",
"玻璃陶瓷類指數","23.81","+","0.38","1.62","",
"造紙類指數","181.17","+","2.29","1.28","",
"鋼鐵類指數","85.86","+","0.86","1.01","",
"橡膠類指數","215.90","+","5.03","2.39","",
"汽車類指數","266.59","+","6.84","2.63","",
"電子工業類指數","456.38","+","11.11","2.50","",
"半導體類指數","192.63","+","4.94","2.63","",
"電腦及週邊設備類指數","96.78","+","2.10","2.22","",
"光電類指數","32.93","+","1.01","3.16","",
"通信網路類指數","120.03","+","1.35","1.14","",
"電子零組件類指數","101.81","+","3.82","3.90","",
"電子通路類指數","111.99","+","1.59","1.44","",
"資訊服務類指數","113.44","+","1.19","1.06","",
"其他電子類指數","73.09","+","1.31","1.83","",
"建材營造類指數","271.45","+","4.21","1.58","",
"航運類指數","54.23","+","0.92","1.73","",
"觀光類指數","74.38","+","1.21","1.65","",
"金融保險類指數","1,195.99","+","28.40","2.43","",
"貿易百貨類指數","247.04","+","3.67","1.51","",
"油電燃氣類指數","106.72","+","1.15","1.09","",
"其他類指數","223.50","+","5.67","2.60","",
"臺指日報酬兩倍指數","14,523.24","+","642.47","4.63","",
"臺指反向一倍指數","7,202.19","-","170.62","-2.31","",
"電子類兩倍槓桿指數","12,884.89","+","612.42","4.99","",
"電子類反向指數","7,081.97","-","181.23","-2.50","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,670.14","+","62.59","1.73","",
"臺灣中小型公司治理指數","5,130.92","+","109.48","2.18","",
"臺灣IPO指數","4,820.16","+","97.52","2.06","",
"智慧中立指數","4,959.49","-","39.25","-0.79","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","16,952.92","+","786.45","4.86","",
"金融類日報酬反向一倍指數","6,846.31","-","170.68","-2.43","",
"漲升股利150指數","5,654.26","+","128.31","2.32","",
"漲升股利100指數","5,647.17","+","126.91","2.30","",
"藍籌30指數","5,441.93","+","136.10","2.57","",
"工業菁英30指數","5,669.30","+","157.11","2.85","",
"電子菁英30指數","5,881.98","+","146.06","2.55","",
"低波動股利精選30指數","5,517.07","+","110.27","2.04","",
"低貝塔100指數","5,462.84","+","88.14","1.64","",
"藍籌30反向一倍指數","8,488.99","-","223.48","-2.57","",
"中小型精選50指數","5,248.19","+","130.85","2.56","",
"中小型A級動能50指數","6,691.09","+","170.30","2.61","",
"特選高息低波指數","4,940.28","+","92.89","1.92","",
"臺灣永續指數","5,160.08","+","119.95","2.38","",
"工業菁英30反向一倍指數","9,368.30","-","274.85","-2.85","",
"特選內需高收益指數","5,355.37","+","74.11","1.40","",
"價值投資指數","5,515.95","+","146.21","2.72","",
"中小型300指數","5,367.80","+","132.90","2.54","",
"臺灣勞工權益指數","4,980.27","+","104.99","2.15","",
"智慧投資多因子30指數","4,592.27","+","83.82","1.86","",
"臺股期貨指數","4,509.27","+","136.32","3.12","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","14,850.56","+","331.71","2.28","",
"發行量加權股價報酬指數","19,321.80","+","437.03","2.31","",
"臺灣公司治理100報酬指數","7,326.78","+","166.54","2.33","",
"臺灣50報酬指數","15,228.60","+","354.54","2.38","",
"臺灣50權重上限30%報酬指數","14,992.41","+","350.38","2.39","",
"臺灣中型100報酬指數","13,270.62","+","350.09","2.71","",
"臺灣資訊科技股報酬指數","21,024.35","+","503.38","2.45","",
"臺灣發達報酬指數","12,571.69","+","290.71","2.37","",
"臺灣高股息報酬指數","13,755.32","+","278.77","2.07","",
"臺灣就業99報酬指數","8,224.20","+","202.91","2.53","",
"臺灣高薪100報酬指數","7,073.05","+","152.38","2.20","",
"未含金融電子報酬指數","20,012.34","+","372.46","1.90","",
"小型股300報酬指數","6,892.88","+","130.37","1.93","",
"水泥類報酬指數","267.02","+","5.06","1.93","",
"食品類報酬指數","2,327.52","+","13.55","0.59","",
"塑膠類報酬指數","338.60","+","8.22","2.49","",
"紡織纖維類報酬指數","637.24","+","15.63","2.51","",
"電機機械類報酬指數","232.57","+","5.54","2.44","",
"電器電纜類報酬指數","59.29","+","0.57","0.97","",
"化學生技醫療類報酬指數","124.13","+","2.15","1.76","",
"化學類報酬指數","136.55","+","2.32","1.73","",
"生技醫療類報酬指數","75.07","+","1.32","1.79","",
"玻璃陶瓷類報酬指數","27.24","+","0.44","1.64","",
"造紙類報酬指數","252.41","+","3.20","1.28","",
"鋼鐵類報酬指數","127.91","+","1.28","1.01","",
"橡膠類報酬指數","314.84","+","7.34","2.39","",
"汽車類報酬指數","387.00","+","9.93","2.63","",
"電子工業類報酬指數","782.11","+","19.04","2.50","",
"半導體類報酬指數","315.75","+","8.10","2.63","",
"電腦及週邊設備類報酬指數","180.47","+","3.91","2.21","",
"光電類報酬指數","44.22","+","1.36","3.17","",
"通信網路類報酬指數","226.80","+","2.56","1.14","",
"電子零組件類報酬指數","172.67","+","6.46","3.89","",
"電子通路類報酬指數","222.41","+","3.17","1.45","",
"資訊服務類報酬指數","224.48","+","2.35","1.06","",
"其他電子類報酬指數","103.59","+","1.86","1.83","",
"建材營造類報酬指數","469.59","+","7.27","1.57","",
"航運類報酬指數","73.27","+","1.25","1.74","",
"觀光類報酬指數","95.67","+","1.56","1.66","",
"金融保險類報酬指數","1,825.51","+","43.36","2.43","",
"貿易百貨類報酬指數","353.10","+","5.24","1.51","",
"油電燃氣類報酬指數","155.37","+","1.67","1.09","",
"其他類報酬指數","344.19","+","8.74","2.61","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","3,858.44","+","65.80","1.73","",
"臺灣中小型公司治理報酬指數","5,896.29","+","125.81","2.18","",
"臺灣IPO報酬指數","5,129.13","+","103.78","2.07","",
"智慧中立報酬指數","4,981.23","-","38.94","-0.78","",
"加權指數掩護性臺指買權價外5%報酬指數","4,286.88","-","6.91","-0.16","",
"臺灣5G報酬指數","4,659.29","+","144.43","3.20","",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"漲升股利150報酬指數","6,705.92","+","152.17","2.32","",
"漲升股利100報酬指數","6,717.21","+","150.96","2.30","",
"藍籌30報酬指數","6,199.95","+","155.05","2.56","",
"工業菁英30報酬指數","6,466.99","+","179.22","2.85","",
"電子菁英30報酬指數","6,647.69","+","165.07","2.55","",
"低波動股利精選30報酬指數","6,305.96","+","126.04","2.04","",
"低貝塔100報酬指數","6,232.28","+","100.56","1.64","",
