"109年04月06日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","11,190.53","+","178.73","1.62","",
"發行量加權股價指數","9,818.74","+","155.11","1.61","",
"臺灣公司治理100指數","5,659.96","+","98.27","1.77","",
"臺灣50指數","7,667.42","+","119.24","1.58","",
"臺灣50權重上限30%指數","7,538.78","+","118.75","1.60","",
"臺灣中型100指數","7,186.72","+","144.28","2.05","",
"臺灣資訊科技指數","11,225.62","+","210.93","1.91","",
"臺灣發達指數","7,009.58","+","129.89","1.89","",
"臺灣高股息指數","5,806.40","+","94.80","1.66","",
"臺灣就業99指數","5,567.98","+","80.77","1.47","",
"臺灣高薪100指數","5,341.44","+","80.88","1.54","",
"未含金融指數","8,316.18","+","145.48","1.78","",
"未含電子指數","12,249.34","+","162.66","1.35","",
"未含金融電子指數","10,034.78","+","172.76","1.75","",
"小型股300指數","5,456.05","+","57.70","1.07","",
"水泥窯製類指數","519.92","+","2.04","0.39","",
"塑膠化工類指數","659.67","+","15.88","2.47","",
"機電類指數","2,441.21","+","43.96","1.83","",
"水泥類指數","148.17","+","0.66","0.45","",
"食品類指數","1,664.32","+","61.66","3.85","",
"塑膠類指數","201.14","+","6.24","3.20","",
"紡織纖維類指數","396.83","+","4.34","1.11","",
"電機機械類指數","155.39","+","5.26","3.50","",
"電器電纜類指數","38.93","+","0.36","0.93","",
"化學生技醫療類指數","81.68","+","1.37","1.71","",
"化學類指數","84.77","+","0.97","1.16","",
"生技醫療類指數","54.14","+","1.20","2.27","",
"玻璃陶瓷類指數","20.73","-","0.08","-0.38","",
"造紙類指數","177.07","+","1.18","0.67","",
"鋼鐵類指數","82.94","+","1.05","1.28","",
"橡膠類指數","197.60","-","1.27","-0.64","",
"汽車類指數","253.94","+","7.43","3.01","",
"電子工業類指數","436.45","+","7.69","1.79","",
"半導體類指數","184.57","+","3.22","1.78","",
"電腦及週邊設備類指數","94.40","+","2.60","2.83","",
"光電類指數","31.83","+","0.79","2.55","",
"通信網路類指數","116.67","+","2.03","1.77","",
"電子零組件類指數","92.72","+","1.54","1.69","",
"電子通路類指數","107.33","+","1.27","1.20","",
"資訊服務類指數","108.47","+","1.86","1.74","",
"其他電子類指數","69.21","+","0.33","0.48","",
"建材營造類指數","255.36","+","0.25","0.10","",
"航運類指數","49.49","+","0.07","0.14","",
"觀光類指數","70.25","+","0.22","0.31","",
"金融保險類指數","1,118.95","+","5.66","0.51","",
"貿易百貨類指數","236.37","-","0.37","-0.16","",
"油電燃氣類指數","104.40","+","2.88","2.84","",
"其他類指數","206.73","+","0.34","0.16","",
"臺指日報酬兩倍指數","13,127.82","+","408.32","3.21","",
"臺指反向一倍指數","7,587.80","-","123.78","-1.61","",
"電子類兩倍槓桿指數","11,799.62","+","408.61","3.59","",
"電子類反向指數","7,415.53","-","135.43","-1.79","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,428.93","+","81.67","2.44","",
"臺灣中小型公司治理指數","4,926.61","+","115.88","2.41","",
"臺灣IPO指數","4,624.51","+","74.20","1.63","",
"智慧中立指數","4,962.09","-","37.24","-0.74","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","14,862.19","+","149.60","1.02","",
"金融類日報酬反向一倍指數","7,329.49","-","37.45","-0.51","",
"漲升股利150指數","5,346.56","+","107.28","2.05","",
"漲升股利100指數","5,371.66","+","122.07","2.33","",
"藍籌30指數","5,191.07","+","100.62","1.98","",
"工業菁英30指數","5,425.42","+","129.21","2.44","",
"電子菁英30指數","5,673.59","+","122.36","2.20","",
"低波動股利精選30指數","5,238.73","+","74.89","1.45","",
"低貝塔100指數","5,228.56","+","51.62","1.00","",
"藍籌30反向一倍指數","8,909.62","-","179.66","-1.98","",
