出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"108/11/24","102/8","1101","台泥","水泥工業","9835143","9875888","9581097","-0.41257049492663345","2.651533535251757","72824494","73908747","-1.4670158053146267","-"
"108/11/24","102/8","1102","亞泥","水泥工業","5786107","5942364","5494106","-2.629542720708459","5.314804628814952","43850974","40926309","7.146173382016932","-"
"108/11/24","102/8","1103","嘉泥","水泥工業","336088","294781","202149","14.012775585943464","66.25756249103384","2422858","2872746","-15.66055613688088","本月營收較去年同期增加，主係大陸水泥銷貨收入增加所致。"
"108/11/24","102/8","1104","環泥","水泥工業","393203","453397","338855","-13.276223706817646","16.038718625960957","3311949","3034602","9.13948517795744","-"
"108/11/24","102/8","1108","幸福","水泥工業","379115","439572","294049","-13.753605780167982","28.929192073429938","3133889","2658039","17.902295639755472","-"
"108/11/24","102/8","1109","信大","水泥工業","327684","289932","312014","13.02098423078515","5.022210541834661","2544028","2352222","8.154247345701213","-"
"108/11/24","102/8","1110","東泥","水泥工業","154518","184526","114342","-16.262206951865863","35.13669517762502","1286921","981798","31.07798141776618","-"
"108/11/24","102/8","1201","味全","食品工業","2814226","2831715","2563407","-0.6176115887368608","9.784595267158123","20075996","17876234","12.30551132861653","-"
"108/11/24","102/8","1203","味王","食品工業","543046","527694","525221","2.909261807032106","3.3938094630641196","4164433","4167190","-0.06615969034289293","-"
"108/11/24","102/8","1210","大成","食品工業","7697099","7294503","7850869","5.519169709026098","-1.9586366808566034","57217810","57115782","0.17863363929780388","-"
"108/11/24","102/8","1213","大飲","食品工業","100332","98809","107341","1.5413575686425325","-6.529657819472522","533172","535174","-0.3740839427924376","-"
"108/11/24","102/8","1215","卜蜂","食品工業","1617716","1535031","1687998","5.386536167673487","-4.163630525628585","11736826","11498875","2.069341566022763","-"
"108/11/24","102/8","1216","統一","食品工業","39507402","39146498","37152484","0.9219317651351597","6.338520999026606","289606422","272872922","6.132341705931525","-"
"108/11/24","102/8","1217","愛之味","食品工業","602052","536326","643789","12.254859917289112","-6.483024717725839","3155090","3031974","4.060588910063213","-"
"108/11/24","102/8","1218","泰山","食品工業","817096","858924","1023057","-4.869813860131979","-20.131918358410136","6497469","6861678","-5.307870756978104","-"
"108/11/24","102/8","1219","福壽","食品工業","891943","960546","1002260","-7.142083773187333","-11.006824576457207","6858630","6890589","-0.46380650478500457","-"
"108/11/24","102/8","1220","台榮","食品工業","307597","322204","375538","-4.533463271716055","-18.091644520661024","2270096","2545221","-10.809473912088578","-"
