market,fn_date,content_date,kind,bytes,path
twse,2016-10-10,,0-byte sentinel,0,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_10_10.csv
twse,2016-10-11,2016-10-11,csv,106696,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_10_11.csv
twse,2016-10-12,2016-10-12,csv,106195,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_10_12.csv
twse,2016-10-13,2016-10-13,csv,106089,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_10_13.csv
twse,2016-10-14,2016-10-14,csv,107113,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_10_14.csv
twse,2016-10-17,2016-10-17,csv,106482,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_10_17.csv
twse,2016-10-18,2016-10-18,csv,106446,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_10_18.csv
twse,2016-10-19,2016-10-19,csv,106815,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_10_19.csv
twse,2016-10-20,2016-10-20,csv,106485,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_10_20.csv
twse,2016-10-21,2016-10-21,csv,107066,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_10_21.csv
twse,2016-10-24,2016-10-24,csv,105804,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_10_24.csv
twse,2016-10-25,2016-10-25,csv,105987,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_10_25.csv
twse,2016-10-26,2016-10-26,csv,105947,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_10_26.csv
twse,2016-10-27,2016-10-27,csv,106467,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_10_27.csv
twse,2016-10-28,2016-10-28,csv,106375,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_10_28.csv
twse,2016-10-29,2017-12-18,csv,111338,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_10_29.csv
twse,2016-10-03,2016-10-03,csv,104413,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_10_3.csv
twse,2016-10-31,2016-10-31,csv,106201,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_10_31.csv
twse,2016-10-04,2016-10-04,csv,104352,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_10_4.csv
twse,2016-10-05,,0-byte sentinel,0,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_10_5.csv
twse,2016-10-06,2016-10-06,csv,105246,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_10_6.csv
twse,2016-10-07,2016-10-07,csv,105588,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_10_7.csv
twse,2016-11-01,2016-11-01,csv,106106,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_11_1.csv
twse,2016-11-10,2016-11-10,csv,107025,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_11_10.csv
twse,2016-11-11,2016-11-11,csv,107586,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_11_11.csv
twse,2016-11-13,,0-byte sentinel,0,/Users/zaoldyeck/Documents/scala/quantlib/data/sbl_borrowing/twse/2016/2016_11_13.csv
