date,nav,cash,active,turnover,requested_turnover,commission,tax,slippage_cost,blocked_orders,partial_orders,filled_orders
2005-01-03,998142.243191411,557103.5515555423,1,0.44278287463711324,0.4424996893721367,113.57380734441955,0.0,283.18526497656194,0,0,1
2005-01-04,988883.2347028776,408378.4818726515,1,0.14926408026097768,0.14926408026097768,38.1381979258935,0.0,0.0,0,0,1
2005-01-05,981304.5245164228,408378.4818726515,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2005-01-06,981304.5245164228,408378.4818726515,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2005-01-07,976781.7458567643,408378.4818726515,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2005-01-10,978982.0165560576,408378.4818726515,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2005-01-11,981671.2362996383,408378.4818726515,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2005-01-12,970058.6964978124,408378.4818726515,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2005-01-13,969325.2729313812,408378.4818726515,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2005-01-14,968379.8172239123,663338.1970895454,1,0.2646549898644967,0.26480699772290983,65.610828616523,767.3781124739531,146.91769528573644,0,0,1
2005-01-17,972152.2998335151,663338.1970895454,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2005-01-18,971556.6446846304,663338.1970895454,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2005-01-19,970630.0700085877,663338.1970895454,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2005-01-20,969703.4953325449,663338.1970895454,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2005-01-21,967188.5069261431,663338.1970895454,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2005-01-24,963746.9438436986,663338.1970895454,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2005-01-25,963614.5760328353,663338.1970895454,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2005-01-26,966659.0356826901,663338.1970895454,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2005-01-27,966659.0356826901,663338.1970895454,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2005-01-28,969769.6792379766,663338.1970895454,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2005-01-31,974998.2077670752,663338.1970895454,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2005-02-01,974932.0238616434,663338.1970895454,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2005-02-02,978042.6674169298,663338.1970895454,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2005-02-03,978836.8742821093,663338.1970895454,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2005-02-14,981512.6772447379,404594.94081140775,1,0.26200212814692964,0.26186404495909243,66.35062629969643,0.0,136.3306932080739,0,0,1
2005-02-15,981631.6784279955,404594.94081140775,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2005-02-16,980560.6677786761,404594.94081140775,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2005-02-17,973063.5932334412,404594.94081140775,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2005-02-18,975205.6145320798,404594.94081140775,1,0.0,0.0,0.0,0.0,0.0,0,0,0
