start_date,end_date,trading_days,selected_sleeve,strategy_return,segment_mdd,target_count,gross_weight,added,removed,kept,top_weights,fill_count,buy_notional,sell_notional
2005-01-03,2005-01-03,1,iter89,0.0,0.0,1,0.4425,0050,"","",0050:44.2%,1,442782.87463711324,0.0
2005-01-04,2005-01-13,8,iter89,-0.01977782723495436,-0.01977782723495436,1,0.59,"","",0050,0050:59.0%,1,148686.9314849649,0.0
2005-01-14,2005-02-03,15,iter89,0.010798507850126926,-0.008782290390242253,1,0.31266024606905995,"","",0050,0050:31.3%,1,0.0,255792.70415798438
2005-02-14,2005-03-31,33,iter87,-0.021951443750651056,-0.026084247672853555,1,0.59,"","",0050,0050:59.0%,2,258676.90565183794,557186.5942524244
2005-04-01,2005-05-06,24,iter87,0.0010113967463389884,-0.014854889711854002,1,0.295,"","",0050,0050:29.5%,1,283353.4037539824,0.0
2005-05-09,2005-08-16,70,iter89,0.038457430884205834,-0.022043830764826633,1,0.5713379551214395,"","",0050,0050:57.1%,1,264888.27787538164,0.0
2005-08-17,2005-10-03,33,iter89,-0.003536185602039277,-0.013948287652488789,1,0.31400599688857633,"","",0050,0050:31.4%,1,0.0,271748.1431643069
2005-10-04,2005-10-19,11,iter67,-0.03172363992946736,-0.03172363992946736,1,0.5975442796008162,"","",0050,0050:59.8%,2,282440.9164774336,565800.5214955886
2005-10-20,2005-11-11,17,iter67,0.020783301080606886,-0.0022213880435786315,1,0.2907517090401171,"","",0050,0050:29.1%,1,280408.68613464676,0.0
2005-11-14,2006-01-24,52,iter87,0.03639538341234538,-0.026701030902454015,1,0.59,"","",0050,0050:59.0%,1,279246.55151849776,0.0
2006-01-25,2006-02-17,12,iter87,0.009239316546812537,-0.005720071739737875,1,0.295,"","",0050,0050:29.5%,1,0.0,317639.57605000824
2006-02-20,2006-03-09,13,iter89,-0.013559175416438474,-0.016271010499726124,1,0.5718084368361626,"","",0050,0050:57.2%,1,279313.4916799852,0.0
2006-03-10,2006-04-04,18,iter87,0.008556090083978063,-0.009382264741525148,1,0.295,"","",0050,0050:29.5%,1,0.0,280147.25528464105
2006-04-06,2006-05-19,31,iter87,0.011547933919343167,-0.04718675874999112,1,0.59,"","",0050,0050:59.0%,1,297288.34093010426,0.0
2006-05-22,2006-07-07,34,iter67,-0.022517469730575113,-0.02466573314055387,1,0.3010688555009609,"","",0050,0050:30.1%,2,0.0,596754.4821570311
2006-07-10,2006-07-24,11,iter67,-0.028435835235108398,-0.03946893930633044,1,0.5985499078169326,"","",0050,0050:59.9%,1,609839.0335627205,0.0
2006-07-25,2006-08-10,13,iter67,0.01296373245210547,-0.0031489548531626887,1,0.2940516328850901,"","",0050,0050:29.4%,1,0.0,303348.5405286064
2006-08-11,2006-10-31,56,iter87,0.048879156599247686,-0.023973519331472404,1,0.59,"","",0050,0050:59.0%,1,292758.61585165636,0.0
2006-11-01,2007-01-31,65,iter87,0.06478846243125158,-0.04173749129659832,1,1.0,"","",0050,0050:100.0%,1,417375.05168951146,0.0
2007-02-01,2007-05-31,77,iter67,0.030892023167865545,-0.045772433521085065,1,0.5857680195941217,"","",0050,0050:58.6%,1,0.0,473128.44218940934
2007-06-01,2007-07-31,42,iter89,0.10240911775095718,-0.07085933154998203,1,0.9748881087731207,"","",0050,0050:97.5%,1,442508.40951763286,0.0
2007-08-01,2007-09-29,41,iter89,0.05804131444647642,-0.05764575005576533,1,0.615625,"","",0050,0050:61.6%,1,0.0,464607.3869236677
2007-10-01,2007-11-05,25,iter67,0.003075531173627466,-0.05166285435539497,1,1.0,"","",0050,0050:100.0%,1,491931.0248181966,0.0
2007-11-06,2007-11-23,14,iter67,-0.05065605962501296,-0.05065605962501296,1,0.5,"","",0050,0050:50.0%,1,0.0,661803.2953812716
2007-11-26,2007-11-26,1,iter67,0.0,0.0,1,0.37195131845841783,"","",0050,0050:37.2%,1,0.0,136963.46698558092
2007-11-27,2007-11-28,2,iter67,-0.0057666206444801915,-0.0057666206444801915,1,0.5,"","",0050,0050:50.0%,1,166850.42809780868,0.0
2007-11-29,2007-11-29,1,iter67,0.0,0.0,1,0.3735887896745341,"","",0050,0050:37.4%,1,0.0,168217.4812916969
2007-11-30,2007-11-30,1,iter67,0.0,0.0,1,0.49999999999999994,"","",0050,0050:50.0%,1,160502.38447642518,0.0
2007-12-03,2008-01-15,31,iter87,-0.01649874052263678,-0.023229337397761896,1,0.295,"","",0050,0050:29.5%,2,0.0,618566.3741987434
2008-01-16,2008-01-30,11,iter67,-0.033833768698496636,-0.048006678822002824,1,0.5776313693933832,"","",0050,0050:57.8%,1,724085.5458138251,0.0
2008-01-31,2008-02-25,12,iter67,0.025935768434654616,-0.00815653225629609,1,0.281354681940467,"","",0050,0050:28.1%,1,0.0,328876.2508636652
2008-02-26,2008-04-30,45,iter87,0.0362332547626969,-0.0474974428343472,1,0.59,"","",0050,0050:59.0%,1,353828.78466951614,0.0
2008-05-02,2008-05-26,17,iter87,-0.04049837099511144,-0.0616906781435107,1,1.0,"","",0050,0050:100.0%,1,502332.3790449307,0.0
2008-05-27,2008-05-27,1,iter87,0.0,0.0,1,0.74,"","",0050,0050:74.0%,1,0.0,317588.9695810682
2008-05-28,2008-05-28,1,iter87,0.0,0.0,1,1.0,"","",0050,0050:100.0%,1,316425.21082939487,0.0
2008-05-29,2008-05-29,1,iter87,0.0,0.0,1,0.74,"","",0050,0050:74.0%,1,0.0,319596.7144826818
2008-05-30,2008-05-30,1,iter87,0.0,0.0,1,1.0,"","",0050,0050:100.0%,1,318278.5408429752,0.0
2008-06-02,2008-06-02,1,iter89,0.0,0.0,2,0.3390625,4904,"",0050,4904:27.7% 0050:6.2%,2,337811.92523525417,1144572.5927157938
2008-06-03,2008-08-08,48,iter89,0.0023104434998761914,-0.02454846218618556,1,0.29511314477415457,"",0050,4904,4904:29.5%,2,21939.418797252576,76390.68840396203
2008-08-11,2008-08-11,1,iter89,0.0,0.0,1,0.5157648367968545,"","",4904,4904:51.6%,2,271032.9205110626,623884.8653313953
