date,nav,series
2010-04-01,1000000.0,mf_top10_pit_adv50
2010-04-02,1000000.0,mf_top10_pit_adv50
2010-04-06,1000000.0,mf_top10_pit_adv50
2010-04-07,990893.8192552191,mf_top10_pit_adv50
2010-04-08,991491.7051459263,mf_top10_pit_adv50
2010-04-09,991865.9205393735,mf_top10_pit_adv50
2010-04-12,1003722.8062653226,mf_top10_pit_adv50
2010-04-13,989422.5274821145,mf_top10_pit_adv50
2010-04-14,1002011.3416038933,mf_top10_pit_adv50
2010-04-15,1007125.4800039422,mf_top10_pit_adv50
2010-04-16,1002251.4391651696,mf_top10_pit_adv50
2010-04-19,969127.1757929089,mf_top10_pit_adv50
2010-04-20,976940.2916053515,mf_top10_pit_adv50
2010-04-21,984826.3293153315,mf_top10_pit_adv50
2010-04-22,983442.5620417688,mf_top10_pit_adv50
2010-04-23,991548.1688180146,mf_top10_pit_adv50
2010-04-26,1006146.2253530085,mf_top10_pit_adv50
2010-04-27,1007380.0075791687,mf_top10_pit_adv50
2010-04-28,1009612.3336097847,mf_top10_pit_adv50
2010-04-29,1010230.4225460292,mf_top10_pit_adv50
2010-04-30,982630.2603693395,mf_top10_pit_adv50
2010-05-03,985649.9544816288,mf_top10_pit_adv50
2010-05-04,973762.0646274232,mf_top10_pit_adv50
2010-05-05,944168.2885819997,mf_top10_pit_adv50
2010-05-06,923439.7997763635,mf_top10_pit_adv50
2010-05-07,925396.5943661686,mf_top10_pit_adv50
2010-05-10,942339.4618728989,mf_top10_pit_adv50
2010-05-11,933641.9854303127,mf_top10_pit_adv50
2010-05-12,926500.7967244586,mf_top10_pit_adv50
2010-05-13,936140.177561431,mf_top10_pit_adv50
2010-05-14,941794.601010058,mf_top10_pit_adv50
2010-05-17,916787.3186602256,mf_top10_pit_adv50
2010-05-18,912508.6676858176,mf_top10_pit_adv50
2010-05-19,917842.3740675757,mf_top10_pit_adv50
2010-05-20,901917.1890351392,mf_top10_pit_adv50
2010-05-21,879470.7729892536,mf_top10_pit_adv50
2010-05-24,892153.4812330356,mf_top10_pit_adv50
2010-05-25,853839.0653980615,mf_top10_pit_adv50
2010-05-26,876112.0119816784,mf_top10_pit_adv50
2010-05-27,903724.7176738679,mf_top10_pit_adv50
2010-05-28,912827.1935303092,mf_top10_pit_adv50
2010-05-31,920931.6362120014,mf_top10_pit_adv50
2010-06-01,914873.3335658321,mf_top10_pit_adv50
2010-06-02,896231.2522571166,mf_top10_pit_adv50
2010-06-03,917896.1215912192,mf_top10_pit_adv50
2010-06-04,909451.4333281524,mf_top10_pit_adv50
2010-06-07,890598.9124200881,mf_top10_pit_adv50
2010-06-08,895506.7660217666,mf_top10_pit_adv50
2010-06-09,880505.7164416478,mf_top10_pit_adv50
2010-06-10,882188.6037283413,mf_top10_pit_adv50
2010-06-11,889851.6363019445,mf_top10_pit_adv50
2010-06-14,897396.6827118795,mf_top10_pit_adv50
2010-06-15,901425.0511383343,mf_top10_pit_adv50
2010-06-17,904987.9774242187,mf_top10_pit_adv50
2010-06-18,911072.3265631304,mf_top10_pit_adv50
2010-06-21,936690.6694760697,mf_top10_pit_adv50
2010-06-22,938753.8070659692,mf_top10_pit_adv50
2010-06-23,940570.4923590736,mf_top10_pit_adv50
2010-06-24,942596.1002991284,mf_top10_pit_adv50
2010-06-25,920762.8739437321,mf_top10_pit_adv50
2010-06-28,917207.7348510656,mf_top10_pit_adv50
2010-06-29,906205.036812646,mf_top10_pit_adv50
2010-06-30,899138.700034686,mf_top10_pit_adv50
2010-07-01,889199.2933995663,mf_top10_pit_adv50
2010-07-02,892383.6109206171,mf_top10_pit_adv50
2010-07-05,905052.8589793433,mf_top10_pit_adv50
2010-07-06,920864.0005311895,mf_top10_pit_adv50
2010-07-07,918442.7941683334,mf_top10_pit_adv50
2010-07-08,923452.2853382981,mf_top10_pit_adv50
2010-07-09,925679.5251278771,mf_top10_pit_adv50
2010-07-12,924466.0711440557,mf_top10_pit_adv50
2010-07-13,923689.7219983529,mf_top10_pit_adv50
2010-07-14,930864.1225669616,mf_top10_pit_adv50
2010-07-15,931126.910890452,mf_top10_pit_adv50
2010-07-16,926183.1096515165,mf_top10_pit_adv50
2010-07-19,926535.3995559588,mf_top10_pit_adv50
2010-07-20,930847.9124868085,mf_top10_pit_adv50
2010-07-21,926596.1565692463,mf_top10_pit_adv50
2010-07-22,930719.7351301442,mf_top10_pit_adv50
2010-07-23,940554.0557764542,mf_top10_pit_adv50
2010-07-26,957054.2344153281,mf_top10_pit_adv50
2010-07-27,953926.0390073116,mf_top10_pit_adv50
2010-07-28,956117.9018136989,mf_top10_pit_adv50
2010-07-29,959083.4526744061,mf_top10_pit_adv50
2010-07-30,956280.1834610057,mf_top10_pit_adv50
2010-08-02,973729.1243767638,mf_top10_pit_adv50
2010-08-03,998904.7261368282,mf_top10_pit_adv50
2010-08-04,992153.1406341643,mf_top10_pit_adv50
2010-08-05,981957.874482278,mf_top10_pit_adv50
2010-08-06,982573.7399554147,mf_top10_pit_adv50
2010-08-09,976800.3319385084,mf_top10_pit_adv50
2010-08-10,967385.6437345608,mf_top10_pit_adv50
2010-08-11,962511.2676933883,mf_top10_pit_adv50
2010-08-12,964905.7829077798,mf_top10_pit_adv50
2010-08-13,980085.745486623,mf_top10_pit_adv50
2010-08-16,976906.300182023,mf_top10_pit_adv50
2010-08-17,985703.7350475034,mf_top10_pit_adv50
2010-08-18,995260.3570259303,mf_top10_pit_adv50
2010-08-19,1000146.8007435002,mf_top10_pit_adv50
2010-08-20,1005441.3024144906,mf_top10_pit_adv50
2010-08-23,1005657.060052193,mf_top10_pit_adv50
2010-08-24,1009471.2020388953,mf_top10_pit_adv50
2010-08-25,988466.484416048,mf_top10_pit_adv50
2010-08-26,985275.0818689785,mf_top10_pit_adv50
2010-08-27,999328.4954681445,mf_top10_pit_adv50
2010-08-30,1015289.7637852199,mf_top10_pit_adv50
2010-08-31,992076.8413980692,mf_top10_pit_adv50
2010-09-01,1008064.200336778,mf_top10_pit_adv50
2010-09-02,993214.7330794812,mf_top10_pit_adv50
2010-09-03,1003209.2162217945,mf_top10_pit_adv50
2010-09-06,1024487.6171722197,mf_top10_pit_adv50
2010-09-07,1026424.1361134972,mf_top10_pit_adv50
2010-09-08,1008644.2018137384,mf_top10_pit_adv50
2010-09-09,988996.6905271386,mf_top10_pit_adv50
2010-09-10,989160.2824863956,mf_top10_pit_adv50
2010-09-13,1021481.6199919924,mf_top10_pit_adv50
2010-09-14,1028329.2092335173,mf_top10_pit_adv50
2010-09-15,1036359.6712902809,mf_top10_pit_adv50
2010-09-16,1024090.381201937,mf_top10_pit_adv50
2010-09-17,1024114.1354443778,mf_top10_pit_adv50
2010-09-20,1024866.5479692129,mf_top10_pit_adv50
2010-09-21,1021017.0386261768,mf_top10_pit_adv50
2010-09-23,1014235.7164919581,mf_top10_pit_adv50
2010-09-24,1009587.2950177909,mf_top10_pit_adv50
2010-09-27,1005934.1757190046,mf_top10_pit_adv50
2010-09-28,1008573.3961635493,mf_top10_pit_adv50
2010-09-29,1013214.3778654776,mf_top10_pit_adv50
2010-09-30,1030492.9669731878,mf_top10_pit_adv50
2010-10-01,1034017.5954802134,mf_top10_pit_adv50
2010-10-04,904635.4211715381,mf_top10_pit_adv50
2010-10-05,902551.866621476,mf_top10_pit_adv50
2010-10-06,907308.3639970392,mf_top10_pit_adv50
2010-10-07,911478.3955491332,mf_top10_pit_adv50
2010-10-08,900513.6968641165,mf_top10_pit_adv50
2010-10-11,897273.9517364865,mf_top10_pit_adv50
2010-10-12,889918.2356872491,mf_top10_pit_adv50
2010-10-13,890029.3861712764,mf_top10_pit_adv50
2010-10-14,894895.3414315215,mf_top10_pit_adv50
2010-10-15,889186.1628279256,mf_top10_pit_adv50
2010-10-18,875899.0811895445,mf_top10_pit_adv50
2010-10-19,876853.2954553538,mf_top10_pit_adv50
2010-10-20,888768.6503836366,mf_top10_pit_adv50
2010-10-21,1052090.82318664,mf_top10_pit_adv50
2010-10-22,1050397.4457931793,mf_top10_pit_adv50
2010-10-25,1066296.2211709244,mf_top10_pit_adv50
2010-10-26,1063703.8881193085,mf_top10_pit_adv50
2010-10-27,1069892.927553259,mf_top10_pit_adv50
2010-10-28,971314.2319427149,mf_top10_pit_adv50
2010-10-29,970717.6697298444,mf_top10_pit_adv50
2010-11-01,962035.7287251101,mf_top10_pit_adv50
2010-11-02,947362.2862370997,mf_top10_pit_adv50
2010-11-03,921123.0905791168,mf_top10_pit_adv50
2010-11-04,934082.9891741173,mf_top10_pit_adv50
2010-11-05,955652.6311995487,mf_top10_pit_adv50
2010-11-08,948700.5394254789,mf_top10_pit_adv50
2010-11-09,954399.7076629873,mf_top10_pit_adv50
2010-11-10,952788.7168941437,mf_top10_pit_adv50
2010-11-11,959793.5643354366,mf_top10_pit_adv50
2010-11-12,1069687.9996175957,mf_top10_pit_adv50
2010-11-15,1051269.5542337117,mf_top10_pit_adv50
2010-11-16,1056841.207254201,mf_top10_pit_adv50
2010-11-17,1055026.3801758357,mf_top10_pit_adv50
2010-11-18,1056249.3604744691,mf_top10_pit_adv50
2010-11-19,1063326.243000099,mf_top10_pit_adv50
2010-11-22,1069760.857326866,mf_top10_pit_adv50
2010-11-23,1064828.4811107977,mf_top10_pit_adv50
2010-11-24,1063218.779328957,mf_top10_pit_adv50
2010-11-25,1073401.7007518378,mf_top10_pit_adv50
2010-11-26,1070729.4711442548,mf_top10_pit_adv50
2010-11-29,1085152.329434691,mf_top10_pit_adv50
2010-11-30,1102384.5741537528,mf_top10_pit_adv50
2010-12-01,1111309.4028570682,mf_top10_pit_adv50
2010-12-02,1116691.2587711392,mf_top10_pit_adv50
2010-12-03,1120638.8481171206,mf_top10_pit_adv50
2010-12-06,1129738.9802615573,mf_top10_pit_adv50
2010-12-07,1138708.4203291247,mf_top10_pit_adv50
2010-12-08,1138763.2599587177,mf_top10_pit_adv50
2010-12-09,1146619.861239102,mf_top10_pit_adv50
2010-12-10,1138196.980928842,mf_top10_pit_adv50
2010-12-13,1143505.7153813848,mf_top10_pit_adv50
2010-12-14,1131116.9558611186,mf_top10_pit_adv50
2010-12-15,1129002.5758032582,mf_top10_pit_adv50
2010-12-16,1134455.6324935975,mf_top10_pit_adv50
2010-12-17,1134037.64979365,mf_top10_pit_adv50
2010-12-20,1124703.535550552,mf_top10_pit_adv50
2010-12-21,1135418.5859045915,mf_top10_pit_adv50
2010-12-22,1147901.504622739,mf_top10_pit_adv50
2010-12-23,1150792.9043271833,mf_top10_pit_adv50
