date,series,nav
2005-01-03,Iter95 execution-ready champion,998142.243191411
2005-01-04,Iter95 execution-ready champion,988883.2347028776
2005-01-05,Iter95 execution-ready champion,981304.5245164228
2005-01-06,Iter95 execution-ready champion,981304.5245164228
2005-01-07,Iter95 execution-ready champion,976781.7458567643
2005-01-10,Iter95 execution-ready champion,978982.0165560576
2005-01-11,Iter95 execution-ready champion,981671.2362996383
2005-01-12,Iter95 execution-ready champion,970058.6964978124
2005-01-13,Iter95 execution-ready champion,969325.2729313812
2005-01-14,Iter95 execution-ready champion,968379.8172239123
2005-01-17,Iter95 execution-ready champion,972152.2998335151
2005-01-18,Iter95 execution-ready champion,971556.6446846304
2005-01-19,Iter95 execution-ready champion,970630.0700085877
2005-01-20,Iter95 execution-ready champion,969703.4953325449
2005-01-21,Iter95 execution-ready champion,967188.5069261431
2005-01-24,Iter95 execution-ready champion,963746.9438436986
2005-01-25,Iter95 execution-ready champion,963614.5760328353
2005-01-26,Iter95 execution-ready champion,966659.0356826901
2005-01-27,Iter95 execution-ready champion,966659.0356826901
2005-01-28,Iter95 execution-ready champion,969769.6792379766
2005-01-31,Iter95 execution-ready champion,974998.2077670752
2005-02-01,Iter95 execution-ready champion,974932.0238616434
2005-02-02,Iter95 execution-ready champion,978042.6674169298
2005-02-03,Iter95 execution-ready champion,978836.8742821093
2005-02-14,Iter95 execution-ready champion,981512.6772447379
2005-02-15,Iter95 execution-ready champion,981631.6784279955
2005-02-16,Iter95 execution-ready champion,980560.6677786761
2005-02-17,Iter95 execution-ready champion,973063.5932334412
2005-02-18,Iter95 execution-ready champion,975205.6145320798
2005-02-21,Iter95 execution-ready champion,977823.6405637491
2005-02-22,Iter95 execution-ready champion,974610.6086157912
2005-02-23,Iter95 execution-ready champion,974610.6086157912
2005-02-24,Iter95 execution-ready champion,974967.6121655643
2005-02-25,Iter95 execution-ready champion,983297.6949936034
2005-03-01,Iter95 execution-ready champion,985677.7186587574
2005-03-02,Iter95 execution-ready champion,984130.7032764072
2005-03-03,Iter95 execution-ready champion,981750.6796112532
2005-03-04,Iter95 execution-ready champion,978180.6441135223
2005-03-07,Iter95 execution-ready champion,981155.6736949648
2005-03-08,Iter95 execution-ready champion,974610.6086157912
2005-03-09,Iter95 execution-ready champion,978299.6452967799
2005-03-10,Iter95 execution-ready champion,976395.6263646567
2005-03-11,Iter95 execution-ready champion,977942.6417470068
2005-03-14,Iter95 execution-ready champion,972706.5896836681
2005-03-15,Iter95 execution-ready champion,965090.5139551752
2005-03-16,Iter95 execution-ready champion,967351.5364370715
2005-03-17,Iter95 execution-ready champion,962234.4855569905
2005-03-18,Iter95 execution-ready champion,962234.4855569905
2005-03-21,Iter95 execution-ready champion,962353.486740248
2005-03-22,Iter95 execution-ready champion,959967.0569196491
2005-03-23,Iter95 execution-ready champion,959967.0569196491
2005-03-24,Iter95 execution-ready champion,959967.0569196491
2005-03-25,Iter95 execution-ready champion,959967.0569196491
2005-03-28,Iter95 execution-ready champion,959967.0569196491
2005-03-29,Iter95 execution-ready champion,959967.0569196491
2005-03-30,Iter95 execution-ready champion,959967.0569196491
2005-03-31,Iter95 execution-ready champion,959967.0569196491
2005-04-01,Iter95 execution-ready champion,960337.4964761278
2005-04-04,Iter95 execution-ready champion,960033.9707825893
2005-04-06,Iter95 execution-ready champion,959730.4450890508
2005-04-07,Iter95 execution-ready champion,958819.8680084352
2005-04-08,Iter95 execution-ready champion,959730.4450890508
2005-04-11,Iter95 execution-ready champion,958819.8680084352
2005-04-12,Iter95 execution-ready champion,959912.5605051739
2005-04-13,Iter95 execution-ready champion,960216.0861987123
2005-04-14,Iter95 execution-ready champion,958819.8680084352
2005-04-15,Iter95 execution-ready champion,955238.2648246805
2005-04-18,Iter95 execution-ready champion,947285.891653971
2005-04-19,Iter95 execution-ready champion,949107.0458152022
2005-04-20,Iter95 execution-ready champion,946071.7888798169
2005-04-21,Iter95 execution-ready champion,948378.5841507098
2005-04-22,Iter95 execution-ready champion,948803.5201216638
2005-04-25,Iter95 execution-ready champion,950381.8537280641
2005-04-26,Iter95 execution-ready champion,951838.7770570491
2005-04-27,Iter95 execution-ready champion,951960.1873344644
2005-04-28,Iter95 execution-ready champion,952749.3541376647
2005-04-29,Iter95 execution-ready champion,954449.0980214804
2005-05-03,Iter95 execution-ready champion,955420.3802408036
2005-05-04,Iter95 execution-ready champion,954570.5082988958
2005-05-05,Iter95 execution-ready champion,961187.3684180357
2005-05-06,Iter95 execution-ready champion,961308.7786954511
2005-05-09,Iter95 execution-ready champion,962695.9887302117
2005-05-10,Iter95 execution-ready champion,962695.9887302117
2005-05-11,Iter95 execution-ready champion,960350.8345283766
2005-05-12,Iter95 execution-ready champion,960937.1230788352
2005-05-13,Iter95 execution-ready champion,965041.1429320469
2005-05-16,Iter95 execution-ready champion,962578.73102012
2005-05-17,Iter95 execution-ready champion,956481.3300953484
2005-05-18,Iter95 execution-ready champion,959060.9997173671
2005-05-19,Iter95 execution-ready champion,965654.1570355194
2005-05-20,Iter95 execution-ready champion,964189.0109648188
2005-05-23,Iter95 execution-ready champion,956985.376117208
2005-05-24,Iter95 execution-ready champion,959183.095223259
2005-05-25,Iter95 execution-ready champion,957840.0446584502
2005-05-26,Iter95 execution-ready champion,961625.005341093
2005-05-27,Iter95 execution-ready champion,966386.7300708697
2005-05-30,Iter95 execution-ready champion,966142.5390590862
2005-05-31,Iter95 execution-ready champion,967241.3986121116
2005-06-01,Iter95 execution-ready champion,962845.96040001
2005-06-02,Iter95 execution-ready champion,967241.3986121116
2005-06-03,Iter95 execution-ready champion,972247.3143536716
2005-06-06,Iter95 execution-ready champion,972491.505365455
2005-06-07,Iter95 execution-ready champion,972003.1233418882
2005-06-08,Iter95 execution-ready champion,974078.7469420473
2005-06-09,Iter95 execution-ready champion,974078.7469420473
2005-06-10,Iter95 execution-ready champion,978107.8986364736
2005-06-13,Iter95 execution-ready champion,985433.6289899761
2005-06-14,Iter95 execution-ready champion,985433.6289899761
2005-06-15,Iter95 execution-ready champion,986288.297531218
2005-06-16,Iter95 execution-ready champion,990439.5447315362
2005-06-17,Iter95 execution-ready champion,996422.2245202297
2005-06-20,Iter95 execution-ready champion,996055.9380025547
2005-06-21,Iter95 execution-ready champion,991538.4042845615
2005-06-22,Iter95 execution-ready champion,1001061.8537441147
2005-06-23,Iter95 execution-ready champion,1000817.6627323313
2005-06-24,Iter95 execution-ready champion,996666.4155320132
2005-06-27,Iter95 execution-ready champion,993003.5503552621
2005-06-28,Iter95 execution-ready champion,996422.2245202297
2005-06-29,Iter95 execution-ready champion,991538.4042845615
2005-06-30,Iter95 execution-ready champion,991416.3087786699
2005-07-01,Iter95 execution-ready champion,992515.168331695
2005-07-04,Iter95 execution-ready champion,989340.6851785108
2005-07-05,Iter95 execution-ready champion,985799.9155076512
2005-07-06,Iter95 execution-ready champion,987020.8705665683
2005-07-07,Iter95 execution-ready champion,983724.2919074921
2005-07-08,Iter95 execution-ready champion,985555.7244958677
