# 2024-03 事件流(439 事件,按日排序)。欄位:日期|代碼 名稱|產業|事件|最新YoY 3月YoY|距52高% 距120高% 120日漲% 量能x
2024-03-01|1535 中宇|電機機械|爆量急漲|19 24|100 105 27 13.2
2024-03-01|1731 美吾華|生技醫療|創高|53 27|100 101 18 2.7
2024-03-01|1805 寶徠|建材營造|創高|-17 -19|100 100 45 1.6
2024-03-01|2305 全友|電腦及週|創高|193 86|100 108 42 6.3
2024-03-01|2393 億光|光電業|創高|16 5|100 103 12 2.6
2024-03-01|3128 昇銳|光電業|爆量急漲|-7 -8|73 102 5 14.2
2024-03-01|3357 臺慶科|電子零組|創高|16 -1|98 102 20 2.9
2024-03-01|3515 華擎|電腦及週|創高|37 20|97 108 18 3.2
2024-03-01|3592 瑞鼎|半導體業|爆量急漲|73 34|100 104 52 7.2
2024-03-01|4104 佳醫|生技醫療|創高|13 13|97 102 3 4.5
2024-03-01|4556 旭然|其他|創高|85 31|100 102 51 21.1
2024-03-01|4951 精拓科|半導體業|爆量急漲|17 9|99 105 30 5.2
2024-03-01|6449 鈺邦|電子零組|創高+爆量急漲|70 43|100 108 31 16.6
2024-03-01|6591 動力-KY|電腦及週|創高+爆量急漲|73 8|95 103 9 24.9
2024-03-04|1409 新纖|紡織纖維|創高|32 20|91 101 2 10.5
2024-03-04|1737 臺鹽|食品工業|創高|5 -4|92 100 1 1.9
2024-03-04|1773 勝一|化學工業|爆量急漲|27 11|100 105 27 9.6
2024-03-04|1799 易威|生技醫療|創高|-18 64|100 108 181 4.2
2024-03-04|2025 千興|鋼鐵工業|創高|299 195|100 102 90 2.5
2024-03-04|2066 世德|電機機械|創高+爆量急漲|1 -0|97 105 20 7.3
2024-03-04|2230 泰茂|居家生活|創高|326 156|100 108 52 4.8
2024-03-04|2367 燿華|電子零組|爆量急漲|29 10|100 105 33 7.8
2024-03-04|2417 圓剛|電腦及週|創高|29 0|100 107 103 6.7
2024-03-04|2455 全新|通信網路|創高|148 110|100 103 24 2.3
2024-03-04|2485 兆赫|通信網路|爆量急漲|-7 -29|80 80 -19 6.3
2024-03-04|3013 晟銘電|電腦及週|創高|25 -15|96 107 24 3.7
2024-03-04|3042 晶技|電子零組|創高+爆量急漲|37 13|100 102 12 7.3
2024-03-04|3147 大綜|資訊服務|爆量急漲|86 46|100 105 114 7.8
2024-03-04|3297 杭特|光電業|創高+爆量急漲|69 47|100 107 51 13.8
2024-03-04|3413 京鼎|半導體業|創高|-2 -11|100 103 41 3.7
2024-03-04|4906 正文|通信網路|創高+爆量急漲|-0 -17|100 102 4 5.7
2024-03-04|4974 亞泰|電子零組|創高|40 -11|100 101 2 5.5
2024-03-04|5251 天鉞電|光電業|創高+爆量急漲|10 -5|100 108 52 5.6
2024-03-04|5488 松普|電子零組|創高|29 -28|100 108 22 4.7
2024-03-04|6015 宏遠證|金融業|爆量急漲|328 204|87 104 4 10.2
2024-03-04|6176 瑞儀|光電業|創高|33 1|100 101 24 1.8
2024-03-04|6227 茂綸|電子通路|創高|1 -11|100 110 62 2.7
2024-03-04|8011 台通|通信網路|創高|41 57|100 108 47 2.1
2024-03-04|8016 矽創|半導體業|創高|56 34|100 102 23 3.4
2024-03-04|8049 晶采|光電業|爆量急漲|-5 -32|100 106 16 11.9
2024-03-04|8099 大世科|資訊服務|創高|-3 -7|95 101 16 3.1
2024-03-04|8478 東哥遊艇|運動休閒|爆量急漲|49 34|65 100 0 6.7
2024-03-04|9927 泰銘|其他|創高|57 36|100 102 40 2.1
2024-03-05|1108 幸福|水泥工業|創高|55 31|91 101 7 2.7
2024-03-05|1210 大成|食品工業|創高|3 -4|97 102 10 2.7
2024-03-05|1215 卜蜂|食品工業|創高|6 -4|100 101 5 3.1
2024-03-05|1409 新纖|紡織纖維|爆量急漲|32 20|96 106 8 23.3
2024-03-05|1455 集盛|紡織纖維|爆量急漲|84 50|100 103 33 8.3
2024-03-05|1472 三洋實業|建材營造|創高|230 94|100 106 84 2.2
2024-03-05|2340 台亞|半導體業|爆量急漲|24 22|77 85 -13 6.1
2024-03-05|2451 創見|半導體業|創高|37 16|100 100 17 1.8
2024-03-05|2539 櫻花建|建材營造|創高|-23 na|100 101 60 2.7
2024-03-05|2838 聯邦銀|金融保險|創高|6 4|92 102 2 2.7
