# 2023-05 月末(2023-05-31)全池量化快照(1109 檔)。欄位:代碼 名稱|產業|最新YoY 3月YoY 加速|距52週高% 距120日高% 60日漲% 120日漲%|量能x 日均值M
1101 台泥|水泥工業|9 20 10|95 95 0 16|1.3 907
1102 亞泥|水泥工業|-18 11 14|98 98 -1 8|1.2 187
1103 嘉泥|水泥工業|31 34 19|99 99 6 21|1.9 8
1104 環泥|水泥工業|1 32 12|92 92 14 28|0.5 64
1108 幸福|水泥工業|18 39 13|90 90 10 45|0.4 21
1110 東泥|水泥工業|92 64 49|92 93 4 4|1.9 10
1201 味全|食品工業|13 12 9|97 97 0 7|0.9 8
1210 大成|食品工業|-3 7 -2|97 97 5 21|0.7 121
1215 卜蜂|食品工業|13 9 -2|91 91 9 16|0.5 107
1216 統一|食品工業|3 9 -0|98 98 9 16|1.2 396
1217 愛之味|食品工業|14 7 4|98 98 3 11|0.6 8
1218 泰山|食品工業|-10 -2 -8|68 68 6 -19|1.3 70
1219 福壽|食品工業|-12 0 -10|92 92 -4 10|0.3 13
1227 佳格|食品工業|-4 -3 10|89 96 -2 3|1.5 58
1229 聯華|食品工業|-4 13 7|99 99 15 25|0.8 72
1231 聯華食|食品工業|-0 10 -3|95 95 7 29|0.7 18
1232 大統益|食品工業|-7 10 -9|94 97 3 4|0.8 7
1234 黑松|食品工業|8 30 16|99 99 6 14|0.7 12
1268 漢來美食|觀光餐旅|80 36 -59|98 98 7 44|0.9 56
1301 台塑|塑膠工業|-36 -25 -4|93 100 4 6|1.9 529
1303 南亞|塑膠工業|-28 -30 -5|96 96 3 2|1.5 432
1304 台聚|塑膠工業|-25 -19 -4|85 85 -7 12|0.6 27
1305 華夏|塑膠工業|-33 -28 -5|79 81 -14 14|0.6 30
1307 三芳|塑膠工業|-25 -5 -33|96 96 11 11|1.3 21
1308 亞聚|塑膠工業|-10 -16 -12|85 85 -11 -3|0.6 28
1309 台達化|塑膠工業|-23 -18 1|75 86 -11 2|0.8 8
1310 台苯|塑膠工業|-26 -28 -14|93 93 18 23|1.0 44
1312 國喬|塑膠工業|-22 -6 13|85 90 -4 9|0.7 33
1313 聯成|塑膠工業|-3 -1 15|83 92 -4 14|1.0 10
1316 上曜|建材營造|-65 1 -130|59 90 6 3|0.7 14
1319 東陽|汽車工業|-2 17 3|89 97 15 8|0.6 183
1326 台化|塑膠工業|-30 -17 -11|88 90 -3 -6|1.5 164
1336 台翰|電子零組|-12 9 -11|80 80 -19 -8|0.7 7
1340 勝悅-KY|塑膠工業|134 53 63|98 98 19 32|0.9 7
1342 八貫|其他|-4 -5 -19|77 77 -18 44|0.2 95
1402 遠東新|紡織纖維|-9 -3 -8|97 97 -0 4|1.8 155
1409 新纖|紡織纖維|-28 -24 -13|92 92 -6 -2|0.7 30
1417 嘉裕|紡織纖維|10 17 -0|84 84 -4 9|0.5 6
1423 利華|紡織纖維|-41 -35 -16|97 97 15 14|1.0 6
1432 大魯閣|運動休閒|44 15 -74|75 75 -8 37|1.0 10
1434 福懋|紡織纖維|-25 -17 -15|98 98 2 6|0.8 22
1437 勤益控|其他|-0 4 -7|93 93 -1 16|0.3 7
1440 南紡|紡織纖維|-9 -2 -8|82 89 -9 -4|0.9 13
1442 名軒|建材營造|-12 173 -236|86 86 4 -5|0.9 20
1444 力麗|紡織纖維|-51 -28 -19|87 92 -1 -0|0.5 10
1451 年興|紡織纖維|-36 -30 -25|78 90 -8 -1|0.5 6
1467 南緯|紡織纖維|-26 -35 -17|80 92 -2 -4|0.3 6
1476 儒鴻|紡織纖維|-31 -32 -26|91 91 -3 7|1.3 232
1477 聚陽|紡織纖維|-9 1 -6|94 94 7 5|0.8 271
1503 士電|電機機械|13 20 5|100 100 86 158|1.0 2236
1504 東元|電機機械|4 9 -1|98 98 66 87|0.7 1366
