# 2024-12-02 全池(1168 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|74 55 30|95 95 2 2|1.0 417|18 5 9 3 -22
1102 亞泥|水泥工業|-2 -0 8|90 90 -5 9|1.0 288|19 -14 5 -45 22
1104 環泥|水泥工業|-2 0 -5|79 79 -4 -14|0.4 8|15 -10 -11 -0 5
1201 味全|食品工業|8 9 -3|94 98 -1 -2|0.8 5|6 19 0 19 -4
1210 大成|食品工業|-4 -8 -0|92 96 2 -3|0.9 39|10 13 7 54 4
1215 卜蜂|食品工業|3 -2 3|87 87 1 -7|0.9 21|38 28 1 -35 -9
1216 統一|食品工業|10 8 -7|95 95 4 12|0.7 636|38 -8 4 43 4
1217 愛之味|食品工業|11 6 3|89 89 -4 -2|0.6 6|10 -5 0 3 -1
1218 泰山|食品工業|-7 -9 -5|89 90 1 -7|1.1 16|3 19 -0 0 -22
1220 台榮|食品工業|23 5 -1|96 96 2 15|0.8 12|10 7 0 33 12
1225 福懋油|食品工業|-11 -12 -0|44 44 -51 -14|0.5 5|1 -3 0 -7 20
1227 佳格|食品工業|3 -2 -3|89 89 -3 -7|0.7 15|7 7 -0 4 2
1229 聯華|食品工業|-31 -7 -17|83 83 -7 -12|0.7 50|11 -25 0 5 41
1231 聯華食|食品工業|20 15 7|99 99 11 20|1.4 19|3 13 0 53 18
1232 大統益|食品工業|-3 -9 -1|93 93 -2 5|0.2 7|3 -21 0 -88 -7
1268 漢來美食|觀光餐旅|10 18 -4|91 91 -3 -7|0.5 5|1 -7 -5 -6 -37
1301 台塑|塑膠工業|-3 -4 -2|51 67 -18 -33|1.1 655|28 -7 1 30 11
1303 南亞|塑膠工業|5 -1 3|57 77 -12 -22|0.9 364|28 -9 1 4 19
1304 台聚|塑膠工業|-8 -11 -6|63 75 -14 -15|0.8 17|31 -25 -0 15 7
1305 華夏|塑膠工業|-21 -26 -11|58 72 -20 -21|1.2 12|5 -16 0 10 14
1307 三芳|塑膠工業|2 6 -0|82 82 17 27|0.5 186|17 7 0 -52 -30
1308 亞聚|塑膠工業|-14 -26 -13|66 78 -11 -10|1.0 26|5 -16 16 10 2
1309 台達化|塑膠工業|2 17 -4|74 74 -10 7|0.3 20|3 -6 0 -16 -1
1310 台苯|塑膠工業|-14 11 -12|68 79 -13 -12|0.7 7|6 -19 0 -6 17
1312 國喬|塑膠工業|-19 -5 -8|70 74 -13 -17|0.7 24|10 -21 0 -0 23
