# 2025-04 月中(2025-04-11,上月月報甫公佈)全池量化快照(1174 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|-0 53 -3|85 85 -5 -9|2.9 564|17 -2 2 3 12
1102 亞泥|水泥工業|2 3 3|95 95 13 -4|1.7 493|22 32 -7 -8 38
1103 嘉泥|水泥工業|4 8 5|80 81 -12 -17|1.3 8|5 -12 0 2 5
1104 環泥|水泥工業|-6 2 1|75 87 -2 -10|2.2 10|15 -5 -1 -8 -7
1108 幸福|水泥工業|-9 4 9|86 91 -3 -6|3.1 6|1 -3 0 -20 2
1110 東泥|水泥工業|24 29 -5|69 77 -16 -23|2.4 8|6 -9 0 -11 8
1201 味全|食品工業|-0 -2 -8|87 91 -7 -9|3.9 6|7 0 0 -13 7
1210 大成|食品工業|2 2 6|97 97 10 9|2.6 111|10 23 12 -22 -27
1215 卜蜂|食品工業|-2 -3 1|85 93 6 -2|3.3 35|39 11 2 -28 -7
1216 統一|食品工業|7 6 -4|86 86 -2 -11|2.8 647|38 -7 13 85 112
1217 愛之味|食品工業|8 2 -3|87 94 -1 -6|2.5 9|8 -14 0 -5 2
1218 泰山|食品工業|-5 -8 -1|82 89 -1 -5|3.1 21|3 4 0 -20 3
1220 台榮|食品工業|-6 4 1|70 70 -20 -18|1.8 8|8 -14 0 -34 32
1227 佳格|食品工業|-3 5 3|79 87 -7 -13|2.5 14|7 3 0 -4 -9
1229 聯華|食品工業|-36 -18 -11|64 73 -13 -26|2.0 58|10 -2 0 -6 -14
1231 聯華食|食品工業|10 7 -6|73 73 -10 17|1.3 65|4 -7 0 -26 35
1232 大統益|食品工業|1 -3 1|97 97 5 -1|3.9 12|2 -6 0 214 2
1264 德麥|食品工業|6 9 -6|88 88 -5 -5|4.6 7|2 -3 0 0 0
1301 台塑|塑膠工業|-3 0 -2|49 70 1 -31|0.7 718|27 -1 1 -15 1
1303 南亞|塑膠工業|7 13 7|52 69 2 -33|1.2 510|26 -19 4 -29 46
1304 台聚|塑膠工業|5 2 1|58 68 -5 -35|0.8 27|29 -2 0 -23 4
1305 華夏|塑膠工業|-15 -14 2|56 63 -9 -38|1.2 12|5 -3 0 -21 8
1307 三芳|塑膠工業|9 16 5|64 64 -8 -11|0.5 64|20 2 -8 -55 -16
1308 亞聚|塑膠工業|16 -0 9|62 62 -7 -30|1.1 10|5 2 -2 -30 2
1309 台達化|塑膠工業|11 13 -12|51 58 -17 -45|1.3 12|2 3 -3 -36 -2
1312 國喬|塑膠工業|189 85 52|65 79 -1 -25|1.5 35|7 -6 0 -12 -2
1316 上曜|建材營造|233 252 65|70 82 3 -3|1.3 744|4 0 0 4 51
1319 東陽|汽車工業|12 22 11|89 89 14 22|2.1 594|18 7 4 -48 13
1321 大洋|塑膠工業|-17 -6 -7|77 88 2 -7|1.4 10|7 2 0 -29 -16
1325 恆大|塑膠工業|22 -9 12|59 59 -26 -15|0.2 8|2 11 0 -41 0
1326 台化|塑膠工業|-8 -6 -10|44 61 -6 -40|1.0 442|32 5 -14 -21 4
1336 台翰|電子零組|16 15 -1|67 67 -19 -26|1.5 18|6 -3 0 -6 5
1342 八貫|其他|24 26 20|64 80 -9 -8|1.6 28|29 -2 0 -21 23
1402 遠東新|紡織纖維|-3 -2 -6|83 85 2 -14|1.5 228|19 -10 16 -11 8
1409 新纖|紡織纖維|-7 -3 -14|69 76 -16 -23|2.0 24|13 -9 0 -29 27
1414 東和|紡織纖維|-3 -4 3|64 64 -33 -27|1.1 9|2 4 0 -36 -33
1416 廣豐|其他|-1 6 -9|81 82 -11 -17|2.7 5|7 -6 0 -15 -30
1432 大魯閣|運動休閒|6 5 8|71 71 -24 -17|0.8 8|1 -2 0 na na
1434 福懋|紡織纖維|7 8 3|70 80 -9 -19|2.0 23|7 1 0 -16 -1
1436 華友聯|建材營造|3631 3283 795|56 73 -10 -19|1.4 89|3 -6 3 -45 47
1438 三地開發|建材營造|na na na|41 56 -33 -37|1.8 5|1 1 0 -42 1
1440 南紡|紡織纖維|-3 -0 5|58 75 -15 -26|2.9 9|7 2 0 -13 2
1442 名軒|建材營造|-30 -4 -596|92 92 10 22|2.3 63|11 7 0 -42 11
1446 宏和|紡織纖維|-31 25 -2386|43 45 -34 -45|1.4 22|4 1 0 -42 5
1449 佳和|紡織纖維|-20 -17 -14|45 45 -43 -26|0.8 12|9 16 0 -35 -7
1451 年興|紡織纖維|-27 -19 -13|83 83 -6 -7|2.0 20|7 11 0 353 8
1457 宜進|紡織纖維|1 -2 -6|71 86 -8 -9|3.8 5|2 -7 0 -12 -12
1463 強盛新|紡織纖維|-19 789 491|64 64 -20 -14|0.8 58|11 3 0 -4 36
1464 得力|紡織纖維|21 43 10|73 73 -15 -5|1.2 33|7 8 0 2 3
1466 聚隆|紡織纖維|-1 19 -2|67 67 11 -0|0.8 25|3 3 0 -18 1
1472 三洋實業|建材營造|50 59 41|93 93 48 63|2.8 23|2 3 0 46 26
1473 台南|紡織纖維|12 8 -0|52 72 -16 -21|1.8 10|6 -4 0 1 -16
1476 儒鴻|紡織纖維|21 23 2|61 61 -30 -34|2.7 347|37 -15 -3 121 114
1477 聚陽|紡織纖維|10 15 5|58 68 -20 -27|1.8 537|21 -5 -4 2 5
1503 士電|電機機械|-0 3 -5|40 61 -29 -36|0.9 221|31 -0 0 -38 26
1504 東元|電機機械|7 0 5|85 90 -6 -0|1.6 249|9 -8 -10 -18 20
1513 中興電|電機機械|1 5 -11|53 74 -20 -24|1.7 552|10 5 -0 -43 7
1514 亞力|電機機械|-10 -0 6|51 75 -11 -25|0.7 405|12 2 0 -34 2
1515 力山|電機機械|-44 -54 -28|48 67 -18 -32|1.9 7|6 -7 0 -28 -1
1519 華城|電機機械|26 54 6|38 57 -29 -38|0.5 2006|18 -4 -1 -23 13
1522 堤維西|汽車工業|6 -3 -5|63 68 -26 -25|1.1 73|7 4 -0 -29 3
1524 耿鼎|汽車工業|11 5 -2|73 73 -11 -6|0.8 241|12 9 0 -32 -55
1527 鑽全|電機機械|3 2 -12|72 75 -16 -26|2.2 11|10 -11 0 -42 -1
1528 恩德|電機機械|-31 -24 -17|55 55 -17 -13|0.4 43|4 7 0 -38 -20
1529 樂事綠能|電機機械|20 145 81|52 71 -15 -29|0.7 22|1 1 0 -13 16
1532 勤美|電機機械|-50 -36 -37|47 66 -18 -32|1.3 30|11 -11 -0 -31 6
1536 和大|汽車工業|-17 -17 -4|59 59 -24 -10|0.3 539|8 -5 -0 -38 16
1537 廣隆|電機機械|1 0 -22|86 86 -8 -8|3.4 26|19 -20 0 -68 9
1540 喬福|電機機械|11 6 -8|53 58 -27 -39|0.3 27|2 2 0 -39 -10
