# 2025-01-02 全池(1118 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|88 71 38|90 90 -6 -9|0.7 281
1102 亞泥|水泥工業|4 -0 6|84 84 -15 -5|0.9 305
1104 環泥|水泥工業|-12 -6 -8|77 78 -9 -23|2.2 13
1210 大成|食品工業|-4 -5 2|88 91 -2 -8|1.0 53
1215 卜蜂|食品工業|1 -1 4|80 88 -8 -12|2.0 48
1216 統一|食品工業|7 9 -6|89 89 -8 -1|0.9 423
1217 愛之味|食品工業|17 10 6|88 90 -6 -11|0.8 7
1218 泰山|食品工業|-14 -10 -4|83 91 -4 -10|0.5 9
1220 台榮|食品工業|17 11 4|89 89 5 10|0.5 14
1225 福懋油|食品工業|-7 -10 2|23 23 -68 -67|4.1 31
1227 佳格|食品工業|3 -1 -2|86 90 -8 -12|0.9 11
1229 聯華|食品工業|-6 -10 -17|72 73 -17 -28|1.4 74
1231 聯華食|食品工業|23 19 9|100 100 27 23|1.6 37
1268 漢來美食|觀光餐旅|20 19 -3|91 91 -1 -8|1.7 5
1301 台塑|塑膠工業|11 2 3|44 58 -33 -39|1.0 724
1303 南亞|塑膠工業|5 2 4|45 59 -34 -38|1.1 516
1304 台聚|塑膠工業|8 -3 0|52 61 -33 -34|1.0 22
1305 華夏|塑膠工業|-17 -14 3|51 63 -33 -30|1.1 11
1307 三芳|塑膠工業|10 7 0|78 78 -6 24|0.1 46
1308 亞聚|塑膠工業|4 -14 -4|57 67 -26 -24|0.4 12
1309 台達化|塑膠工業|35 17 -6|62 62 -38 -24|0.6 13
1312 國喬|塑膠工業|8 -8 -12|67 67 -23 -28|0.8 26
1316 上曜|建材營造|69 167 66|62 71 -2 -15|2.6 26
1319 東陽|汽車工業|5 4 -6|88 95 5 6|0.6 269
1321 大洋|塑膠工業|-36 -2 3|75 75 -10 -11|0.4 6
1325 恆大|塑膠工業|-6 -17 1|60 90 5 -15|5.8 7
1326 台化|塑膠工業|-5 -9 -15|43 53 -38 -45|1.3 410
1336 台翰|電子零組|29 19 11|88 88 -5 17|0.2 10
1342 八貫|其他|-5 -10 -8|70 86 -1 -14|0.7 27
1402 遠東新|紡織纖維|6 2 -4|82 82 -15 -12|1.2 458
1409 新纖|紡織纖維|22 9 -5|83 83 -9 -16|0.7 19
1414 東和|紡織纖維|-25 -21 -16|96 96 8 2|1.3 9
1432 大魯閣|運動休閒|4 -7 -4|85 98 7 15|0.9 6
1434 福懋|紡織纖維|6 2 3|73 81 -13 -18|1.3 16
