key,WF,p5_geo
nofilt|grid|g_tp0.4_tr0.2_abnone_td50,0.1231,0.12309999999999999
nofilt|grid|g_tp0.4_tr0.2_ab0.15_td50,0.11,0.1100000000000001
nofilt|grid|g_tpnone_tr0.2_ab0.15_td50,0.1,0.10000000000000009
role40|grid|g_tp0.8_tr0.2_ab0.15_td50,0.0928,0.0928
role40|grid|g_tp0.4_tr0.2_abnone_td50,0.0899,0.08990000000000009
role20|grid|g_tp0.4_tr0.2_abnone_td50,0.0873,0.08729999999999993
role20|grid|g_tp0.8_tr0.2_ab0.15_td50,0.0806,0.0806
role40|grid|g_tpnone_tr0.2_ab0.15_tdnone,0.0756,0.07560000000000011
role20|grid|g_tp0.8_tr0.2_abnone_td50,0.0732,0.07319999999999993
nofilt|grid|g_tp0.4_trnone_ab0.15_td50,0.0715,0.0714999999999999
nofilt|grid|g_tpnone_tr0.2_ab0.15_tdnone,0.0708,0.07079999999999997
role40|grid|g_tp0.8_tr0.2_abnone_td50,0.0695,0.06950000000000012
nofilt|grid|g_tp0.8_tr0.2_ab0.15_td50,0.069,0.06899999999999995
role20|grid|g_tpnone_tr0.2_ab0.15_td50,0.067,0.06699999999999995
nofilt|grid|g_tpnone_tr0.2_abnone_td50,0.0667,0.06669999999999998
role40|grid|g_tpnone_tr0.2_ab0.15_td50,0.0664,0.06640000000000001
nofilt|grid|g_tpnone_tr0.2_abnone_tdnone,0.066,0.06600000000000006
nofilt|grid|g_tp0.8_tr0.2_abnone_td50,0.0651,0.06509999999999994
nofilt|grid|g_tp0.4_tr0.2_ab0.15_tdnone,0.0621,0.062100000000000044
nofilt|grid|g_tp0.4_trnone_abnone_tdnone,0.0595,0.059499999999999886
nofilt|grid|g_tp0.4_tr0.3_ab0.15_td50,0.0583,0.05830000000000002
role20|grid|g_tp0.4_tr0.2_ab0.15_td50,0.058,0.05800000000000005
role40|grid|g_tp0.4_tr0.2_ab0.15_td50,0.0575,0.05750000000000011
role40|grid|g_tp0.8_tr0.2_abnone_tdnone,0.0568,0.05679999999999996
role20|grid|g_tpnone_tr0.2_abnone_td50,0.055,0.05499999999999994
nofilt|grid|g_tp0.8_trnone_abnone_td50,0.055,0.05499999999999994
nofilt|grid|g_tp0.4_trnone_abnone_td50,0.0549,0.05489999999999995
role40|grid|g_tpnone_tr0.2_abnone_td50,0.054,0.05400000000000005
role40|grid|g_tp0.6_tr0.2_abnone_td50,0.0528,0.05279999999999996
nofilt|grid|g_tp0.4_trnone_ab0.15_tdnone,0.0518,0.05180000000000007
role20|grid|g_tp0.8_tr0.2_ab0.15_tdnone,0.0516,0.05160000000000009
role40|grid|g_tpnone_tr0.2_abnone_tdnone,0.0514,0.05140000000000011
role20|grid|g_tp0.6_tr0.2_ab0.15_td50,0.0484,0.0484
role40|grid|g_tp0.4_tr0.2_abnone_tdnone,0.0458,0.04580000000000006
role20|grid|g_tp0.4_tr0.2_ab0.15_tdnone,0.0433,0.043299999999999894
nofilt|grid|g_tp0.8_tr0.2_abnone_tdnone,0.0423,0.042300000000000004
nofilt|grid|g_tp0.4_tr0.2_abnone_tdnone,0.042,0.04200000000000004
role40|grid|g_tp0.8_tr0.2_ab0.15_tdnone,0.0419,0.04190000000000005
role20|grid|g_tp0.6_tr0.2_abnone_td50,0.0415,0.04150000000000009
role20|grid|g_tpnone_tr0.2_ab0.15_tdnone,0.0414,0.0414000000000001
role20|tdx|ev_v2_thesis_inst_tdx,0.041,0.040999999999999925
nofilt|grid|g_tp0.4_tr0.3_abnone_td50,0.0376,0.03760000000000008
