date,nav
2011-11-01,16.98
2011-11-02,16.99
2011-11-03,16.67
2011-11-04,16.92
2011-11-07,16.98
2011-11-08,16.95
2011-11-09,16.78
2011-11-10,16.23
2011-11-11,16.24
2011-11-14,16.62
2011-11-15,16.49
2011-11-16,16.33
2011-11-17,16.39
2011-11-18,16.12
2011-11-21,15.69
2011-11-22,15.44
2011-11-23,15.13
2011-11-24,15.07
2011-11-25,14.89
2011-11-28,15.12
2011-11-29,15.41
2011-11-30,15.23
2011-12-01,15.75
2011-12-02,15.7
2011-12-05,15.58
2011-12-06,15.27
2011-12-07,15.3
2011-12-08,15.09
2011-12-09,14.92
2011-12-12,15.01
2011-12-13,14.95
2011-12-14,15.08
2011-12-15,14.79
2011-12-16,14.9
2011-12-19,14.5
2011-12-20,14.62
2011-12-21,15.27
2011-12-22,15.28
2011-12-23,15.55
2011-12-26,15.51
2011-12-27,15.5
2011-12-28,15.39
2011-12-29,15.43
2011-12-30,15.48
2012-01-02,15.24
2012-01-03,15.48
2012-01-04,15.56
2012-01-05,15.69
2012-01-06,15.75
2012-01-09,15.71
2012-01-10,15.9
2012-01-11,15.95
2012-01-12,15.89
2012-01-13,15.85
2012-01-16,15.66
2012-01-17,16.12
2012-01-18,16.28
2012-01-30,16.89
2012-01-31,17.1
2012-02-01,17.17
2012-02-02,17.27
2012-02-03,17.23
2012-02-04,17.37
2012-02-06,17.23
2012-02-07,17.38
2012-02-08,17.96
2012-02-09,18.07
2012-02-10,17.9
2012-02-13,17.99
2012-02-14,18.01
2012-02-15,18.31
2012-02-16,17.72
2012-02-17,17.71
2012-02-20,17.97
2012-02-21,17.9
2012-02-22,18.23
2012-02-23,18.06
2012-02-24,18.06
2012-02-29,18.38
2012-03-01,18.61
2012-03-02,18.75
2012-03-03,18.68
2012-03-05,18.28
2012-03-06,18.01
2012-03-07,17.97
2012-03-08,18.07
2012-03-09,18.25
2012-03-12,18.07
2012-03-13,18.06
2012-03-14,18.41
2012-03-15,18.51
2012-03-16,18.47
2012-03-19,18.23
2012-03-20,18.11
2012-03-21,17.99
2012-03-22,18.23
2012-03-23,18.29
2012-03-26,18.08
2012-03-27,18.05
2012-03-28,18.18
2012-03-29,17.78
2012-03-30,17.91
2012-04-02,17.72
2012-04-03,17.19
2012-04-05,17.03
2012-04-06,17.44
2012-04-09,17.16
2012-04-10,17.23
2012-04-11,17.37
2012-04-12,17.45
2012-04-13,17.75
2012-04-16,17.67
2012-04-17,17.13
2012-04-18,17.06
2012-04-19,17.04
2012-04-20,16.62
2012-04-23,16.45
2012-04-24,16.53
2012-04-25,16.9
2012-04-26,16.73
2012-04-27,16.44
2012-04-30,16.4
2012-05-02,17.01
2012-05-03,17.0
2012-05-04,17.12
2012-05-07,16.76
2012-05-08,16.92
2012-05-09,16.74
2012-05-10,16.58
2012-05-11,16.28
2012-05-14,16.28
2012-05-15,16.47
2012-05-16,16.04
2012-05-17,16.42
2012-05-18,15.87
2012-05-21,15.93
2012-05-22,16.23
2012-05-23,15.95
2012-05-24,15.84
2012-05-25,15.59
2012-05-28,15.77
2012-05-29,16.42
2012-05-30,16.29
2012-05-31,16.28
2012-06-01,15.73
2012-06-04,15.23
2012-06-05,15.52
2012-06-06,15.74
2012-06-07,15.75
2012-06-08,15.66
2012-06-11,15.91
2012-06-12,15.79
2012-06-13,15.81
2012-06-14,15.8
2012-06-15,16.2
2012-06-18,16.6
2012-06-19,16.53
2012-06-20,16.54
2012-06-21,16.42
2012-06-22,16.4
2012-06-25,16.31
2012-06-26,16.14
2012-06-27,16.22
2012-06-28,16.13
2012-06-29,16.35
2012-07-02,16.4
2012-07-03,16.5
2012-07-04,16.64
2012-07-05,16.65
2012-07-06,16.47
2012-07-09,16.36
2012-07-10,16.09
2012-07-11,16.19
2012-07-12,15.94
2012-07-13,15.86
2012-07-16,15.72
2012-07-17,15.73
2012-07-18,15.62
2012-07-19,15.93
2012-07-20,15.98
2012-07-23,15.69
2012-07-24,15.69
2012-07-25,15.64
2012-07-26,15.64
2012-07-27,16.02
2012-07-30,16.03
2012-07-31,16.12
2012-08-01,16.25
2012-08-03,16.15
2012-08-06,16.26
2012-08-07,16.3
2012-08-08,16.41
2012-08-09,16.84
2012-08-10,16.99
2012-08-13,17.04
2012-08-14,17.13
2012-08-15,17.13
2012-08-16,17.32
2012-08-17,17.3
2012-08-20,17.22
2012-08-21,17.27
2012-08-22,17.25
2012-08-23,17.4
2012-08-24,17.33
2012-08-27,17.35
2012-08-28,17.02
2012-08-29,17.2
2012-08-30,17.3
2012-08-31,17.36
2012-09-03,17.65
2012-09-04,17.64
2012-09-05,17.58
2012-09-06,17.43
2012-09-07,17.62
2012-09-10,17.69
2012-09-11,17.68
2012-09-12,17.95
2012-09-13,17.93
2012-09-14,18.06
2012-09-17,18.03
2012-09-18,18.01
2012-09-19,18.04
2012-09-20,17.89
2012-09-21,17.87
2012-09-24,18.01
2012-09-25,17.79
2012-09-26,17.41
2012-09-27,17.47
2012-09-28,17.44
2012-10-01,17.33
2012-10-02,17.53
2012-10-03,17.54
2012-10-04,17.48
2012-10-05,17.5
2012-10-08,17.3
2012-10-09,17.13
2012-10-11,17.05
2012-10-12,17.03
2012-10-15,17.0
2012-10-16,17.16
2012-10-17,17.16
2012-10-18,17.09
2012-10-19,17.01
2012-10-22,16.98
2012-10-23,16.92
2012-10-24,16.97
2012-10-25,16.91
2012-10-26,16.78
2012-10-29,16.67
2012-10-30,16.88
2012-10-31,16.84
2012-11-01,17.04
2012-11-02,16.98
2012-11-05,16.82
2012-11-06,16.94
2012-11-07,17.18
2012-11-08,17.25
2012-11-09,17.42
2012-11-12,17.27
2012-11-13,17.07
2012-11-14,17.08
2012-11-15,17.09
2012-11-16,16.92
2012-11-19,16.84
2012-11-20,16.79
2012-11-21,16.78
2012-11-22,16.79
2012-11-23,17.25
2012-11-26,17.51
2012-11-27,17.5
2012-11-28,17.51
2012-11-29,17.6
2012-11-30,17.79
2012-12-03,17.79
2012-12-04,18.01
2012-12-05,18.07
2012-12-06,18.03
2012-12-07,18.05
2012-12-10,17.96
2012-12-11,17.92
2012-12-12,18.1
2012-12-13,18.19
2012-12-14,17.89
2012-12-17,17.5
2012-12-18,17.58
2012-12-19,17.62
2012-12-20,17.59
2012-12-21,17.37
2012-12-22,17.49
2012-12-24,17.34
2012-12-25,17.58
2012-12-26,17.54
2012-12-27,17.58
2012-12-28,17.63
2013-01-02,17.92
2013-01-03,17.99
2013-01-04,17.73
2013-01-07,17.43
2013-01-08,17.4
2013-01-09,17.44
2013-01-10,17.49
2013-01-11,17.48
2013-01-14,17.49
2013-01-15,17.3
2013-01-16,17.18
2013-01-17,16.86
2013-01-18,17.14
2013-01-21,17.22
2013-01-22,17.27
2013-01-23,17.28
2013-01-24,17.27
2013-01-25,17.24
2013-01-28,17.34
2013-01-29,17.7
2013-01-30,17.71
2013-01-31,17.74
2013-02-01,17.76
2013-02-04,17.84
2013-02-05,17.83
2013-02-06,17.81
2013-02-18,18.04
2013-02-19,18.2
2013-02-20,18.38
2013-02-21,18.23
2013-02-22,18.12
2013-02-23,18.17
2013-02-25,18.14
2013-02-26,17.95
2013-02-27,18.09
2013-03-01,18.21
2013-03-04,17.96
2013-03-05,18.3
2013-03-06,18.41
2013-03-07,18.31
2013-03-08,18.33
2013-03-11,18.48
2013-03-12,18.31
2013-03-13,18.26
2013-03-14,18.13
2013-03-15,18.13
2013-03-18,17.88
2013-03-19,18.0
2013-03-20,18.03
2013-03-21,18.04
2013-03-22,18.01
2013-03-25,18.25
2013-03-26,18.21
2013-03-27,18.26
2013-03-28,18.18
2013-03-29,18.26
2013-04-01,18.16
2013-04-02,18.24
2013-04-03,18.38
2013-04-08,17.99
2013-04-09,17.81
2013-04-10,18.01
2013-04-11,18.25
2013-04-12,18.03
2013-04-15,17.85
2013-04-16,18.06
2013-04-17,18.15
2013-04-18,18.13
2013-04-19,18.41
2013-04-22,18.35
2013-04-23,18.19
2013-04-24,18.45
2013-04-25,18.37
2013-04-26,18.3
2013-04-29,18.42
2013-04-30,18.74
2013-05-02,18.93
2013-05-03,18.85
2013-05-06,19.11
2013-05-07,19.02
2013-05-08,19.23
2013-05-09,19.13
2013-05-10,18.95
2013-05-13,18.85
2013-05-14,18.77
2013-05-15,18.97
2013-05-16,19.18
2013-05-17,19.26
2013-05-20,19.22
2013-05-21,19.23
2013-05-22,19.23
2013-05-23,18.86
2013-05-24,18.77
2013-05-27,18.97
2013-05-28,19.05
2013-05-29,19.25
2013-05-30,19.07
2013-05-31,19.18
2013-06-03,19.08
2013-06-04,18.99
2013-06-05,18.9
2013-06-06,18.66
2013-06-07,18.52
2013-06-10,18.84
2013-06-11,18.66
2013-06-13,18.21
2013-06-14,18.14
2013-06-17,18.38
2013-06-18,18.46
2013-06-19,18.41
2013-06-20,18.01
2013-06-21,17.61
2013-06-24,17.29
