# 2024-03 月末(2024-03-29)全池量化快照(1277 檔)。欄位:代碼 名稱|產業|最新YoY 3月YoY 加速|距52週高% 距120日高% 60日漲% 120日漲%|量能x 日均值M
1101 台泥|水泥工業|-34 -20 -13|82 92 -7 -3|1.0 496
1102 亞泥|水泥工業|-42 -11 0|97 98 1 4|0.9 192
1103 嘉泥|水泥工業|-5 15 -11|77 90 -8 -6|1.4 6
1104 環泥|水泥工業|-19 6 -4|97 97 8 22|1.1 50
1108 幸福|水泥工業|-21 14 -9|89 97 0 11|1.8 19
1109 信大|水泥工業|-45 7 6|99 99 6 8|1.6 9
1201 味全|食品工業|16 17 7|92 96 -1 3|0.8 7
1210 大成|食品工業|-12 -6 -4|93 95 0 7|0.6 114
1215 卜蜂|食品工業|-10 -6 -7|100 100 16 18|1.7 70
1216 統一|食品工業|18 19 5|99 99 6 10|2.1 823
1217 愛之味|食品工業|5 0 -3|81 95 0 -4|1.0 12
1218 泰山|食品工業|-6 -2 -2|69 97 0 -1|1.0 26
1219 福壽|食品工業|-20 -13 -7|90 94 -3 -6|1.2 7
1227 佳格|食品工業|-7 5 3|94 95 -1 1|1.3 16
1229 聯華|食品工業|-3 28 15|98 98 3 11|1.2 90
1231 聯華食|食品工業|19 6 3|99 99 11 9|1.0 26
1232 大統益|食品工業|-23 -13 -5|99 100 3 4|1.5 9
1234 黑松|食品工業|16 2 -6|100 100 3 8|1.0 6
1268 漢來美食|觀光餐旅|75 28 -15|84 96 3 1|0.6 14
1301 台塑|塑膠工業|-27 -5 10|76 84 -12 -14|0.9 577
1303 南亞|塑膠工業|-23 -13 9|72 80 -15 -16|0.9 517
1304 台聚|塑膠工業|-21 -10 8|61 77 -18 -22|1.6 28
1305 華夏|塑膠工業|-36 -26 -6|68 73 -18 -25|1.2 28
1307 三芳|塑膠工業|-30 -1 7|100 100 14 13|2.1 21
1308 亞聚|塑膠工業|-12 -3 21|66 78 -18 -22|0.9 19
1309 台達化|塑膠工業|-10 9 18|73 87 -5 -12|0.9 10
1310 台苯|塑膠工業|23 20 28|76 80 -14 -16|0.6 12
1312 國喬|塑膠工業|-18 -8 5|66 81 -10 -18|0.7 29
1313 聯成|塑膠工業|-42 25 15|77 82 -10 -9|0.8 21
1316 上曜|建材營造|-73 -18 35|73 73 52 93|0.8 685
1319 東陽|汽車工業|-17 20 6|99 99 66 59|1.7 1302
1325 恆大|塑膠工業|-20 2 21|61 61 -26 29|0.2 21
1326 台化|塑膠工業|-8 0 10|80 85 -10 -11|0.9 232
1339 昭輝|汽車工業|-28 8 3|92 92 7 13|0.5 29
1342 八貫|其他|43 3 3|87 97 19 38|2.2 129
1402 遠東新|紡織纖維|-1 11 11|100 100 7 16|0.8 155
1409 新纖|紡織纖維|1 15 20|92 92 1 3|0.4 49
1414 東和|紡織纖維|-20 4 13|92 92 10 10|1.0 10
