# 2025-01-02 全池(1118 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|88 71 38|90 90 -6 -9|0.7 281|18 -6 4 0 -14
1102 亞泥|水泥工業|4 -0 6|84 84 -15 -5|0.9 305|20 34 -51 23 -64
1104 環泥|水泥工業|-12 -6 -8|77 78 -9 -23|2.2 13|15 -14 0 19 1
1210 大成|食品工業|-4 -5 2|88 91 -2 -8|1.0 53|9 -39 39 -23 34
1215 卜蜂|食品工業|1 -1 4|80 88 -8 -12|2.0 48|38 -2 -27 29 -3
1216 統一|食品工業|7 9 -6|89 89 -8 -1|0.9 423|38 -1 -11 81 -29
1217 愛之味|食品工業|17 10 6|88 90 -6 -11|0.8 7|9 -28 0 3 -5
1218 泰山|食品工業|-14 -10 -4|83 91 -4 -10|0.5 9|3 -27 0 -7 -0
1220 台榮|食品工業|17 11 4|89 89 5 10|0.5 14|10 -0 0 9 7
1225 福懋油|食品工業|-7 -10 2|23 23 -68 -67|4.1 31|3 23 0 30 31
1227 佳格|食品工業|3 -1 -2|86 90 -8 -12|0.9 11|7 -34 0 11 -14
1229 聯華|食品工業|-6 -10 -17|72 73 -17 -28|1.4 74|10 -10 -2 20 20
1231 聯華食|食品工業|23 19 9|100 100 27 23|1.6 37|3 17 0 9 8
1268 漢來美食|觀光餐旅|20 19 -3|91 91 -1 -8|1.7 5|1 -5 -26 -6 25
1301 台塑|塑膠工業|11 2 3|44 58 -33 -39|1.0 724|28 3 -0 21 2
1303 南亞|塑膠工業|5 2 4|45 59 -34 -38|1.1 516|28 4 -1 37 -12
1304 台聚|塑膠工業|8 -3 0|52 61 -33 -34|1.0 22|31 -7 0 -20 0
1305 華夏|塑膠工業|-17 -14 3|51 63 -33 -30|1.1 11|5 3 0 -9 -2
1307 三芳|塑膠工業|10 7 0|78 78 -6 24|0.1 46|17 -2 0 -14 8
1308 亞聚|塑膠工業|4 -14 -4|57 67 -26 -24|0.4 12|5 -2 0 -0 -6
1309 台達化|塑膠工業|35 17 -6|62 62 -38 -24|0.6 13|3 -5 0 2 16
1312 國喬|塑膠工業|8 -8 -12|67 67 -23 -28|0.8 26|9 -19 0 6 16
1316 上曜|建材營造|69 167 66|62 71 -2 -15|2.6 26|5 2 0 8 -19
1319 東陽|汽車工業|5 4 -6|88 95 5 6|0.6 269|14 4 -1 10 -7
1321 大洋|塑膠工業|-36 -2 3|75 75 -10 -11|0.4 6|7 -22 0 -2 34
1325 恆大|塑膠工業|-6 -17 1|60 90 5 -15|5.8 7|2 -2 0 5 -8
1326 台化|塑膠工業|-5 -9 -15|43 53 -38 -45|1.3 410|33 3 -0 45 0
1336 台翰|電子零組|29 19 11|88 88 -5 17|0.2 10|8 -0 0 -9 -9
1342 八貫|其他|-5 -10 -8|70 86 -1 -14|0.7 27|29 5 0 28 -5
1402 遠東新|紡織纖維|6 2 -4|82 82 -15 -12|1.2 458|20 41 -56 23 -88
1409 新纖|紡織纖維|22 9 -5|83 83 -9 -16|0.7 19|13 -17 0 -3 -1
1414 東和|紡織纖維|-25 -21 -16|96 96 8 2|1.3 9|2 3 0 10 6
1432 大魯閣|運動休閒|4 -7 -4|85 98 7 15|0.9 6|2 18 0 na na
1434 福懋|紡織纖維|6 2 3|73 81 -13 -18|1.3 16|7 -13 0 19 4
1436 華友聯|建材營造|-64 755 -454|63 63 -9 -34|0.6 33|4 -13 0 -2 40
1438 三地開發|建材營造|-100 na na|57 57 -11 -12|2.1 14|1 2 0 -16 47
1440 南紡|紡織纖維|-10 -10 2|69 75 -14 -22|1.0 8|7 -16 0 -19 3
1442 名軒|建材營造|-84 104 -1103|88 88 8 25|1.4 290|11 -22 29 -26 91
1446 宏和|紡織纖維|-90 3210 62|67 69 -13 -15|0.5 59|4 -14 0 42 0
1449 佳和|紡織纖維|-10 -1 -19|80 80 30 18|0.4 115|5 -2 0 -5 26
1464 得力|紡織纖維|25 29 8|95 95 18 19|0.8 34|5 2 0 25 34
1471 首利|電子零組|-22 24 12|72 80 -1 -19|0.2 6|1 -4 0 na na
1473 台南|紡織纖維|-15 1 -14|64 84 -4 -17|0.8 7|6 -5 0 -18 -0
1476 儒鴻|紡織纖維|-4 15 -2|88 88 -6 -6|0.5 176|39 -3 -3 -5 13
1477 聚陽|紡織纖維|7 10 -1|72 72 -8 -20|1.2 395|23 -23 21 -3 27
1503 士電|電機機械|24 19 10|55 62 -15 -35|0.6 134|32 2 -1 -3 -13
1504 東元|電機機械|-2 -10 -3|91 98 6 2|1.4 416|9 -37 43 0 127
1513 中興電|電機機械|25 21 4|66 66 -7 -23|0.7 416|14 -5 0 -5 -1
1514 亞力|電機機械|-33 -22 -23|56 63 -19 -31|0.7 192|15 1 -3 -4 -2
1515 力山|電機機械|-67 -58 -132|57 64 -18 -37|0.6 8|7 -0 0 8 -4
1519 華城|電機機械|-0 23 -57|54 57 -17 -40|1.0 1892|19 -2 -3 29 6
1522 堤維西|汽車工業|2 -1 -5|87 88 0 -7|0.6 116|7 -4 0 1 1
1524 耿鼎|汽車工業|7 9 -2|92 92 7 9|0.4 156|5 -1 0 -2 14
1527 鑽全|電機機械|1 10 -2|87 87 -12 -2|0.6 7|11 -10 0 -3 -1
