# 2024-03-01 全池(1192 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)|PB位 PE位 殖(PB/PE 三年分位%,高=貴;殖利率%)|益前→新(前一→最新已公佈季累計營益率%)
1101 台泥|水泥工業|-1 -12 -11|81 90 -6 -9|1.1 388|17 -7 1 1 12|PB位6 PE位84 殖1.6|益6.5→8.1
1102 亞泥|水泥工業|35 -2 1|94 95 -4 -0|0.5 91|16 7 -4 -2 -11|PB位5 PE位93 殖5.7|益10.2→9.9
1104 環泥|水泥工業|35 20 3|98 98 6 7|1.0 19|16 -3 -0 -2 -3|PB位94 PE位23 殖6.0|益11.6→11.8
1108 幸福|水泥工業|55 31 1|89 98 6 6|1.3 6|2 -7 0 -5 -22|PB位82 PE位13 殖5.1|益14.0→13.8
1201 味全|食品工業|15 17 7|91 97 -0 1|1.9 5|9 1 0 26 -9|PB位10 PE位96 殖1.3|益2.1→1.6
1210 大成|食品工業|3 -4 -4|95 99 7 8|0.8 87|11 0 -2 -18 15|PB位72 PE位11 殖2.5|益4.9→5.4
1215 卜蜂|食品工業|6 -4 -7|99 99 4 5|1.0 30|40 -1 7 -1 -6|PB位91 PE位34 殖3.6|益9.1→9.8
1216 統一|食品工業|28 19 5|99 99 5 4|0.8 395|38 14 3 -10 83|PB位65 PE位86 殖4.2|益5.4→5.6
1217 愛之味|食品工業|3 -1 -3|80 92 0 -8|0.9 10|8 15 -3 -6 -31|PB位74 PE位86 殖3.4|益3.5→4.1
1218 泰山|食品工業|13 2 -0|65 86 -2 -13|1.1 11|2 -2 -0 -0 2|PB位5 PE位6 殖2.7|益-6.1→-2.5
1227 佳格|食品工業|37 6 3|91 94 -4 -2|1.1 14|6 -21 -0 -2 2|PB位3 PE位72 殖3.4|益3.7→5.0
1229 聯華|食品工業|30 38 22|95 95 -1 8|1.1 52|12 -9 -0 7 -6|PB位84 PE位92 殖3.0|益14.9→11.2
1231 聯華食|食品工業|8 -2 -4|94 97 -3 1|1.3 11|2 -6 0 -3 -8|PB位91 PE位92 殖3.0|益8.0→8.3
