# 2024-03 月中(2024-03-11,上月月報甫公佈)全池量化快照(1266 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|-34 -20 -13|81 90 -9 -7|1.3 437|17 -6 1 6 19
1102 亞泥|水泥工業|-42 -11 0|95 96 -3 2|0.9 112|16 2 -4 0 -6
1104 環泥|水泥工業|-19 6 -4|100 100 10 13|2.1 24|16 14 -0 12 -5
1108 幸福|水泥工業|-21 14 -9|89 97 5 5|1.9 11|3 0 0 -0 -16
1201 味全|食品工業|16 17 7|90 96 -3 1|1.0 6|9 -2 0 42 -8
1210 大成|食品工業|-12 -6 -4|96 99 5 9|1.3 95|11 7 -4 -12 -1
1215 卜蜂|食品工業|-10 -6 -7|99 99 4 7|1.9 33|40 1 3 25 -4
1216 統一|食品工業|18 19 5|100 100 4 9|1.1 478|38 17 4 7 72
1217 愛之味|食品工業|5 0 -3|79 92 -1 -4|0.9 12|8 7 -3 -2 -23
1218 泰山|食品工業|-6 -2 -2|66 89 -2 -10|1.9 14|2 -6 -0 6 10
1219 福壽|食品工業|-20 -13 -7|87 93 -4 -7|2.1 6|6 -3 0 -2 -2
1227 佳格|食品工業|-7 5 3|90 94 -6 -1|1.5 18|6 -23 -0 -1 7
1229 聯華|食品工業|-3 28 15|100 100 0 14|2.0 65|12 1 -0 2 -16
1231 聯華食|食品工業|19 6 3|100 100 3 8|2.7 14|2 -1 0 -1 -3
1232 大統益|食品工業|-23 -13 -5|97 99 -0 1|1.4 8|1 -3 0 0 -15
1234 黑松|食品工業|16 2 -6|99 99 2 5|1.2 5|6 -18 0 -11 -4
1268 漢來美食|觀光餐旅|75 28 -15|84 96 2 5|0.9 13|1 -4 0 -23 8
1301 台塑|塑膠工業|-27 -5 10|76 83 -15 -15|1.7 382|31 -19 -1 7 11
1303 南亞|塑膠工業|-23 -13 9|72 81 -18 -17|2.1 381|29 -14 1 35 28
1304 台聚|塑膠工業|-21 -10 8|66 79 -12 -18|1.5 15|33 -7 -6 7 3
1305 華夏|塑膠工業|-36 -26 -6|68 72 -17 -23|1.5 20|7 -13 -3 -12 23
1307 三芳|塑膠工業|-30 -1 7|97 97 -2 -2|1.5 11|13 8 -0 -12 -14
1308 亞聚|塑膠工業|-12 -3 21|71 80 -15 -18|1.6 15|7 -0 -3 4 0
1309 台達化|塑膠工業|-10 9 18|68 84 -10 -11|1.2 11|2 -1 0 -2 -2
1310 台苯|塑膠工業|23 20 28|79 83 -16 -9|1.6 9|7 -6 0 -18 -4
1312 國喬|塑膠工業|-18 -8 5|68 80 -14 -16|1.0 29|11 -9 0 -15 6
1313 聯成|塑膠工業|-42 25 15|79 84 -16 -10|1.8 20|11 -9 0 11 -25
1316 上曜|建材營造|-73 -18 35|87 87 76 126|4.4 849|4 -1 0 75 111
1319 東陽|汽車工業|-17 20 6|96 96 19 46|0.9 561|27 3 0 -15 -0
1325 恆大|塑膠工業|-20 2 21|67 67 -17 42|0.2 43|3 2 0 -32 7
1326 台化|塑膠工業|-8 0 10|78 84 -14 -13|1.2 187|34 -4 -0 11 2
1339 昭輝|汽車工業|-28 8 3|90 90 -3 51|1.0 29|5 17 0 -3 -3
1342 八貫|其他|43 3 3|83 100 14 17|1.6 113|45 5 0 -19 -1
1402 遠東新|紡織纖維|-1 11 11|100 100 4 14|0.8 122|16 15 2 -0 -16
1409 新纖|紡織纖維|1 15 20|93 96 3 7|5.1 37|12 -2 0 51 29
1410 南染|紡織纖維|-16 -13 25|92 94 -2 -2|1.5 5|21 -4 0 9 0
1414 東和|紡織纖維|-20 4 13|86 86 4 3|1.5 16|1 1 0 46 27
1416 廣豐|其他|13 47 13|93 93 14 25|5.4 6|10 2 0 67 15
1432 大魯閣|運動休閒|28 5 -12|80 80 12 18|2.7 32|2 -4 0 na na
1434 福懋|紡織纖維|-12 -10 7|84 88 -11 -11|1.8 21|7 -15 -0 41 16
1436 華友聯|建材營造|428 135 -431|100 100 27 47|2.3 8|1 14 0 37 1
1438 三地開發|建材營造|-100 -100 na|84 84 41 45|1.1 20|1 1 0 45 58
1440 南紡|紡織纖維|-37 -20 -7|85 88 -9 1|1.3 12|7 -2 0 -2 -2
1442 名軒|建材營造|66 2373 -17506|96 96 -3 9|0.7 12|5 7 -0 -2 -25
1445 大宇|紡織纖維|-51 -27 -13|99 99 26 28|3.1 18|3 8 0 -2 -28
1449 佳和|紡織纖維|-8 72 45|79 79 -12 -2|0.6 28|9 10 0 9 15
1455 集盛|紡織纖維|11 46 44|100 100 24 44|3.4 49|3 1 0 55 14
1463 強盛新|紡織纖維|-25 -19 6|96 96 6 17|1.3 6|6 34 0 -58 -11
1471 首利|電子零組|-58 9 -8|69 69 -10 -18|3.2 28|1 1 0 -6 na
1472 三洋實業|建材營造|60 105 -7|96 96 27 89|2.0 8|2 4 0 -48 0
1476 儒鴻|紡織纖維|9 12 23|95 95 -4 11|0.9 336|41 -2 -10 23 6
1477 聚陽|紡織纖維|3 16 12|91 91 6 7|0.6 350|35 -11 -11 -7 -32
1503 士電|電機機械|9 12 8|90 90 38 41|1.0 3550|33 4 -0 -11 -36
1504 東元|電機機械|-9 -1 -2|85 97 12 5|1.3 584|12 -4 5 -10 -16
1513 中興電|電機機械|-6 10 -4|95 95 27 52|1.7 7251|15 2 0 -3 -3
1514 亞力|電機機械|-5 20 0|88 88 34 114|1.2 2914|21 2 0 -14 -26
1515 力山|電機機械|295 234 104|84 84 -6 43|1.0 67|13 3 0 22 -3
1517 利奇|電機機械|-69 -45 15|86 96 9 11|8.1 9|2 1 0 40 -9
1519 華城|電機機械|162 178 56|92 92 51 77|0.1 3386|22 1 -1 -16 -32
1522 堤維西|汽車工業|10 8 6|87 87 8 28|1.1 386|18 11 -0 -14 -18
1524 耿鼎|汽車工業|6 31 14|87 87 13 41|0.5 193|5 3 0 -10 -21
1527 鑽全|電機機械|12 4 24|96 99 2 3|2.0 8|9 11 0 18 -25
1528 恩德|電機機械|-20 -4 -2|75 83 10 7|0.4 63|2 1 0 -23 24
1529 樂事綠能|電機機械|-36 42 -139|70 91 -4 5|0.4 86|1 3 0 -9 -23
1532 勤美|電機機械|42 73 34|93 93 -3 7|1.5 39|14 0 -0 -3 11
1533 車王電|汽車工業|-24 -24 -46|71 84 -14 -12|1.7 9|6 3 0 -10 -9
1535 中宇|電機機械|44 31 14|100 100 26 36|4.5 17|1 -0 0 285 34
1536 和大|汽車工業|-15 -11 1|71 77 -17 -20|0.9 95|8 -15 -1 28 18
1537 廣隆|電機機械|44 25 27|100 100 3 3|1.4 12|17 -1 0 -9 -17
1558 伸興|電機機械|-10 13 -3|83 87 -10 -1|2.3 9|7 -7 0 33 -15
1560 中砂|電機機械|-3 4 9|87 87 32 81|0.7 1195|19 0 -2 0 13
1565 精華|生技醫療|-21 2 11|75 93 -1 -2|1.5 34|11 -1 0 3 -11
1568 倉佑|汽車工業|-22 -17 1|77 77 -14 11|1.0 39|4 9 0 -13 -15
1569 濱川|電腦及週|-45 -35 -10|97 97 10 13|2.0 11|4 12 0 8 -17
1570 力肯|電機機械|-45 -15 21|97 97 41 38|4.9 8|2 -2 0 29 18
1580 新麥|電機機械|-17 25 6|100 100 1 26|1.6 17|9 10 0 1 -12
1582 信錦|電子零組|-7 26 23|93 93 -7 42|2.2 159|17 -0 -0 18 46
1584 精剛|其他|-19 4 -44|81 87 -5 -1|0.4 54|1 2 0 -3 -0
1589 永冠-KY|電機機械|-63 -23 -13|67 89 11 2|3.8 67|3 -4 0 17 32
1590 亞德客-KY|電機機械|-40 24 6|87 88 7 17|1.3 836|73 -7 0 283 32
1591 駿吉-KY|電機機械|50 55 109|95 95 30 54|1.0 71|17 3 0 -3 -54
1597 直得|電機機械|-33 -24 11|80 98 -1 3|2.4 7|3 1 0 27 -14
1598 岱宇|運動休閒|-22 -11 -17|65 84 -13 -2|1.3 8|5 2 0 -2 2
1603 華電|電器電纜|-7 27 1|85 85 -7 5|0.9 54|4 4 -1 -14 -11
1604 聲寶|電器電纜|7 1 1|87 96 1 2|1.5 9|10 0 -4 -2 -7
1605 華新|電器電纜|-34 -17 -16|65 89 -4 -3|0.6 303|17 11 -2 -6 -4
1608 華榮|電器電纜|5 5 10|97 100 14 12|1.9 59|3 17 0 9 -13
1609 大亞|電器電纜|-4 19 16|92 94 9 -0|2.0 570|9 -0 -0 9 -6
1611 中電|電器電纜|-21 -3 9|77 92 -5 -3|1.0 11|12 7 0 -3 -14
1612 宏泰|電器電纜|-1 2 1|89 89 3 4|0.4 37|16 -5 -0 -14 -14
1615 大山|電器電纜|53 35 13|100 100 30 42|0.9 13|2 9 0 -40 31
1616 億泰|電器電纜|25 19 5|90 90 -1 29|0.8 27|3 2 0 na na
1618 合機|電器電纜|-12 52 -26|89 89 8 13|0.7 203|6 0 -0 22 -3
1701 中化|生技醫療|1 -0 -3|85 90 -8 1|0.8 12|9 14 0 1 -25
1702 南僑|食品工業|-5 10 -2|98 98 11 16|1.9 29|13 11 0 26 -8
1707 葡萄王|生技醫療|-2 8 5|82 96 -1 -4|1.0 38|14 -11 -0 -16 -8
1708 東鹼|化學工業|-22 -0 22|73 87 -10 -5|1.4 14|6 -9 -0 -8 -1
1709 和益|化學工業|19 19 21|83 97 -2 -1|1.5 7|3 -1 0 -4 -18
1710 東聯|化學工業|-16 11 9|78 89 -8 -10|1.7 25|8 -15 -0 22 15
1711 永光|化學工業|-26 3 10|91 93 -3 3|1.5 77|8 -1 0 4 18
1712 興農|化學工業|-4 -3 12|99 99 10 14|2.4 69|13 -7 -0 -25 50
1713 國化|化學工業|-34 25 30|90 90 2 29|0.5 12|5 -5 0 5 44
1717 長興|化學工業|-26 10 17|92 96 8 11|2.6 103|14 -1 -0 76 25
