# 2022-11-01 全池(843 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|8 16 12|69 77 -21 -15|0.6 1000
1102 亞泥|水泥工業|-11 1 -8|84 84 -8 -8|0.5 200
1104 環泥|水泥工業|13 24 8|90 90 -7 2|0.5 6
1201 味全|食品工業|1 4 1|78 89 -7 -9|0.6 6
1210 大成|食品工業|2 12 0|77 82 -10 -10|1.3 36
1215 卜蜂|食品工業|18 16 -2|94 94 7 11|0.4 21
1216 統一|食品工業|11 13 3|97 97 0 5|0.8 429
1218 泰山|食品工業|20 15 -2|87 87 27 38|3.5 38
1219 福壽|食品工業|25 15 -3|74 90 -3 -5|0.9 14
1227 佳格|食品工業|-14 -11 0|76 85 -5 -13|0.7 15
1229 聯華|食品工業|9 3 -16|71 82 -14 -5|0.7 50
1231 聯華食|食品工業|17 15 4|81 81 -14 -7|0.9 10
1232 大統益|食品工業|25 25 4|89 89 -7 1|1.1 7
1258 其祥-KY|食品工業|6 6 -1|68 68 -23 -14|0.4 7
1301 台塑|塑膠工業|-15 -17 -27|81 82 -8 -10|0.6 706
1303 南亞|塑膠工業|-24 -25 -29|81 89 2 -8|0.9 479
1304 台聚|塑膠工業|-16 -12 -17|62 85 -4 -4|0.5 30
1305 華夏|塑膠工業|-37 -28 -28|58 67 -12 -23|0.7 15
1308 亞聚|塑膠工業|-10 15 -12|66 84 -1 2|0.5 29
1309 台達化|塑膠工業|-17 -14 -11|64 75 -9 -15|0.5 7
1312 國喬|塑膠工業|-25 -26 -17|66 79 -9 -16|0.6 28
1313 聯成|塑膠工業|-31 -28 -31|54 70 -8 -19|0.7 13
1316 上曜|建材營造|62 150 -15|41 55 -29 -42|0.7 22
1319 東陽|汽車工業|27 24 8|83 83 -6 47|0.3 168
1326 台化|塑膠工業|2 -0 -14|90 90 1 -3|1.2 244
1338 廣華-KY|汽車工業|6 13 1|78 78 -17 -3|0.5 6
1342 八貫|其他|47 26 -20|94 94 31 32|1.5 132
1402 遠東新|紡織纖維|15 15 -1|98 98 9 15|0.8 215
1409 新纖|紡織纖維|4 6 -11|82 88 -4 -5|0.4 20
1410 南染|紡織纖維|-19 -26 -12|89 89 21 14|0.7 40
1434 福懋|紡織纖維|12 15 2|87 93 -0 4|0.6 21
1440 南紡|紡織纖維|43 19 9|64 83 -6 -9|0.6 16
1442 名軒|建材營造|-97 -80 -25|96 96 30 40|0.5 30
1444 力麗|紡織纖維|9 7 -21|87 87 5 6|0.2 21
1449 佳和|紡織纖維|-7 -6 -6|80 83 43 4|0.4 15
1451 年興|紡織纖維|-4 4 -12|79 79 -5 6|0.5 8
1453 大將|建材營造|74937 86246 30496|40 40 -28 -32|0.2 8
1467 南緯|紡織纖維|-9 -3 -0|76 81 -6 -17|0.9 26
1476 儒鴻|紡織纖維|41 36 16|68 88 -3 -10|0.8 345
1477 聚陽|紡織纖維|-3 13 -8|83 97 25 25|0.3 275
1503 士電|電機機械|16 11 5|87 87 -10 7|0.4 16
1504 東元|電機機械|10 13 0|89 96 0 5|1.2 66
1513 中興電|電機機械|17 13 0|78 78 -9 19|0.6 310
1514 亞力|電機機械|44 23 -4|72 72 -21 9|0.5 33
1515 力山|電機機械|-77 -75 -24|45 77 -9 -15|0.4 11
1517 利奇|電機機械|27 26 4|79 88 -1 11|0.6 43
1519 華城|電機機械|23 -17 -10|84 84 4 16|0.3 86
1522 堤維西|汽車工業|14 13 -3|80 80 -18 30|0.3 63
1524 耿鼎|汽車工業|22 16 -8|75 75 -12 67|0.2 131
1526 日馳|電機機械|40 25 -16|76 76 3 5|0.3 22
1527 鑽全|電機機械|-21 -23 -18|87 87 -1 -2|0.4 7
1529 樂事綠能|電機機械|-29 2 -96|51 76 11 -6|0.2 28
1532 勤美|電機機械|-47 -37 -42|79 86 -8 -6|0.5 12
1533 車王電|汽車工業|27 22 9|66 73 -18 -10|0.4 15
1536 和大|汽車工業|7 15 8|79 81 -5 12|0.5 273
1537 廣隆|電機機械|230 190 149|94 94 -1 4|0.5 16
1539 巨庭|電機機械|-31 -23 -33|60 60 -9 36|0.4 38
1558 伸興|電機機械|62 6 21|76 82 -17 -12|0.9 13
1560 中砂|電機機械|14 18 0|61 61 -33 -16|0.7 437
1565 精華|生技醫療|-5 -10 -5|67 78 -16 -15|0.5 30
1568 倉佑|汽車工業|4 -3 -4|75 75 -17 24|0.2 12
1569 濱川|電腦及週|-18 -8 -30|80 80 -8 -8|0.4 11
1582 信錦|電子零組|-14 -6 -14|87 87 -7 -4|0.6 6
1584 精剛|其他|33 37 -45|64 67 -20 -27|0.2 10
1589 永冠-KY|電機機械|10 9 11|70 80 -7 -4|0.8 26
1590 亞德客-KY|電機機械|-2 -9 -12|73 73 -1 -3|1.3 349
1597 直得|電機機械|-23 -14 -15|87 98 10 10|1.6 5
1603 華電|電器電纜|-28 68 29|81 85 -4 -9|0.5 8
1604 聲寶|電器電纜|-12 -1 -14|81 84 -10 -10|0.4 6
1605 華新|電器電纜|-3 3 -30|81 81 16 4|0.5 1279
1608 華榮|電器電纜|-4 3 -17|63 77 -6 -15|1.9 8
1609 大亞|電器電纜|-8 -5 -15|59 69 -14 -22|0.6 34
1611 中電|電器電纜|-10 -8 0|66 69 -21 -17|0.5 13
1612 宏泰|電器電纜|-8 -12 -18|52 69 -11 -24|0.7 12
1618 合機|電器電纜|79 77 57|93 93 23 27|0.9 10
1701 中化|生技醫療|11 9 7|75 87 -3 -6|0.4 7
1707 葡萄王|生技醫療|9 4 -2|77 82 -6 -8|0.8 23
1708 東鹼|化學工業|62 85 -3|60 72 -14 -19|0.5 152
1709 和益|化學工業|-5 16 1|69 83 -8 -7|0.5 18
1710 東聯|化學工業|-11 -29 -22|67 89 0 -2|0.5 15
1711 永光|化學工業|-1 2 -3|59 74 -10 -18|0.4 12
1712 興農|化學工業|28 27 4|79 79 3 16|0.3 81
1717 長興|化學工業|-14 -10 -13|75 81 -9 -20|0.5 42
1720 生達|生技醫療|51 38 15|91 91 -2 14|0.5 14
1721 三晃|化學工業|-13 10 -9|45 65 -11 -26|0.6 10
1722 台肥|化學工業|3 22 -38|67 79 -13 -19|0.6 73
1723 中碳|化學工業|-2 14 -28|83 83 -9 -10|0.6 25
1727 中華化|化學工業|14 15 -14|42 52 -22 -34|0.5 11
1732 毛寶|化學工業|-2 2 2|56 73 -3 -16|0.3 12
1734 杏輝|生技醫療|31 25 7|83 83 1 4|0.1 13
1736 喬山|運動休閒|13 11 7|90 90 35 46|0.8 148
1760 寶齡富錦|生技醫療|11 21 -3|93 93 33 46|0.8 1998
1762 中化生|生技醫療|33 -4 -21|78 84 -7 -6|0.3 15
1773 勝一|化學工業|-11 -8 -29|57 60 -28 -32|0.4 23
1777 生泰|生技醫療|74 78 70|94 94 15 29|1.2 8
1783 和康生|生技醫療|7 19 -11|64 79 -6 13|0.4 11
1785 光洋科|其他電子|-29 -27 -22|52 61 -21 -35|0.5 24
1789 神隆|生技醫療|5 9 5|82 82 -3 8|0.2 13
1795 美時|生技醫療|231 77 65|86 86 12 45|0.5 2386
1802 台玻|玻璃陶瓷|-25 -28 -18|79 100 21 14|2.1 171
1808 潤隆|建材營造|-95 -97 -57|97 97 16 5|0.4 10
1810 和成|玻璃陶瓷|5 -4 -10|62 78 -4 -21|0.5 6
1815 富喬|電子零組|-25 -12 -12|68 74 -5 -10|0.2 7
1904 正隆|造紙工業|-17 -4 -7|77 91 -2 -7|0.9 14
1905 華紙|造紙工業|20 19 9|66 88 1 -7|0.8 10
1907 永豐餘|造紙工業|-2 4 7|76 95 11 -3|2.9 38
1909 榮成|造紙工業|-11 -19 -25|63 88 1 -7|0.5 19
2002 中鋼|鋼鐵工業|-29 -16 -33|75 86 -5 -10|0.8 585
2006 東和鋼鐵|鋼鐵工業|0 3 -12|66 71 -5 -13|0.6 90
2009 第一銅|鋼鐵工業|-36 -14 -26|55 84 7 -8|6.9 23
2010 春源|鋼鐵工業|-11 -12 -19|61 74 -6 -17|0.5 8
2013 中鋼構|鋼鐵工業|31 23 -2|87 89 -10 12|0.4 9
2014 中鴻|鋼鐵工業|-47 -50 -57|46 66 -23 -31|0.5 138
2015 豐興|鋼鐵工業|-17 -9 -28|61 71 -13 -23|0.8 11
2023 燁輝|鋼鐵工業|-15 -16 -30|58 75 -2 -17|0.6 34
2027 大成鋼|鋼鐵工業|7 7 -25|73 89 8 -7|0.6 278
2028 威致|鋼鐵工業|-19 -29 -43|53 73 -4 -23|0.2 8
2029 盛餘|鋼鐵工業|-47 -30 -43|63 83 -0 -13|0.4 7
2030 彰源|鋼鐵工業|1 3 -30|61 82 -2 -13|0.3 22
2031 新光鋼|鋼鐵工業|4 13 -8|51 75 -3 -24|0.3 32
2034 允強|鋼鐵工業|-23 -18 -38|72 83 -16 -9|0.2 22
2038 海光|鋼鐵工業|-2 24 -3|50 71 -10 -25|0.3 8
2049 上銀|電機機械|0 5 -9|55 65 -20 -21|0.5 261
2059 川湖|電子零組|30 23 -10|83 87 -5 1|0.5 143
2066 世德|電機機械|44 38 17|81 81 15 31|0.6 37
2069 運錩|鋼鐵工業|-29 -15 -51|56 80 -6 -16|0.4 6
2101 南港|橡膠工業|-19 -18 -5|72 84 -14 -11|0.8 19
2102 泰豐|橡膠工業|56 53 61|63 76 -2 -16|0.3 9
2103 台橡|橡膠工業|23 14 1|68 91 -0 2|0.6 19
2104 國際中橡|橡膠工業|32 20 1|68 86 -5 -6|0.4 16
2105 正新|橡膠工業|13 10 13|83 83 -6 4|0.6 128
2106 建大|橡膠工業|19 16 6|82 82 -16 6|0.3 17
2108 南帝|橡膠工業|-44 -54 -8|42 65 -16 -29|0.6 26
2201 裕隆|汽車工業|-9 -0 4|94 94 8 24|1.4 385
2204 中華|汽車工業|8 -9 3|65 72 -13 -22|0.4 27
2206 三陽工業|汽車工業|48 41 23|92 92 1 50|0.5 90
2207 和泰車|汽車工業|26 10 14|91 95 -3 10|1.3 112
2208 台船|航運業|-10 -13 -6|66 77 -18 -20|0.9 12
2211 長榮鋼|鋼鐵工業|-44 -28 -51|78 78 -20 -13|0.3 7
2227 裕日車|汽車工業|-15 -1 14|74 78 -11 -11|1.1 7
2228 劍麟|汽車工業|61 41 31|86 86 12 20|0.3 15
2230 泰茂|居家生活|-8 11 23|67 67 35 39|0.3 21
2231 為升|汽車工業|13 6 10|81 88 13 12|0.4 97
2233 宇隆|汽車工業|2 -1 -2|75 75 -21 -5|0.4 13
2239 英利-KY|汽車工業|69 60 55|77 81 11 11|0.8 8
2247 汎德永業|汽車工業|11 12 12|92 92 -0 3|0.8 9
2301 光寶科|電腦及週|9 10 2|96 96 3 9|0.8 524
2302 麗正|半導體業|16 19 17|78 78 -6 -5|0.4 6
2303 聯電|半導體業|34 35 -1|61 79 -7 -13|1.1 3061
2305 全友|電腦及週|7 29 36|87 87 13 200|1.5 203
2308 台達電|電子零組|35 33 16|90 94 -1 22|1.2 2059
2312 金寶|其他電子|64 42 18|84 100 14 12|0.8 162
2313 華通|電子零組|19 24 -1|83 83 -10 8|0.7 579
2314 台揚|通信網路|22 30 24|38 56 -21 -33|0.2 33
2317 鴻海|其他電子|40 22 14|90 90 -6 5|1.2 3311
2324 仁寶|電腦及週|-17 -13 -13|83 90 -9 -9|0.6 294
2327 國巨*|電子零組|4 5 -11|59 76 -11 -22|1.3 934
2328 廣宇|電子零組|-13 -5 -23|79 83 -6 -2|0.8 58
2329 華泰|半導體業|-11 -4 -8|66 83 2 -10|0.5 26
2330 台積電|半導體業|36 48 10|58 71 -24 -22|1.3 18208
2331 精英|電腦及週|-31 -7 -30|79 79 -3 14|0.2 63
2332 友訊|通信網路|10 14 2|68 83 -15 -1|0.2 19
2337 旺宏|半導體業|-27 -23 -33|72 79 -8 -14|1.9 305
2338 光罩|半導體業|26 28 -3|54 64 -19 -23|1.5 346
2340 台亞|半導體業|-45 -41 -27|43 68 -20 -13|0.6 59
2342 茂矽|半導體業|-4 4 -14|66 79 -6 -3|1.2 28
2344 華邦電|半導體業|-19 -18 -28|57 70 -14 -24|0.8 295
2345 智邦|通信網路|43 36 12|82 84 -5 12|1.4 1097
2347 聯強|電子通路|11 7 -6|71 76 -6 -20|0.6 182
2348 海悅|其他|-12 2 -23|59 71 -23 -25|1.2 5
2351 順德|半導體業|4 3 -11|54 64 -15 -24|1.2 176
2352 佳世達|電腦及週|-6 5 -6|79 84 -14 1|0.6 91
2353 宏碁|電腦及週|-3 -20 -16|79 84 2 -11|0.6 213
2354 鴻準|其他電子|-46 -46 -32|67 81 -7 -23|0.9 93
2355 敬鵬|電子零組|-17 -13 -14|68 86 -4 0|1.2 19
2356 英業達|電腦及週|0 -2 -14|95 97 -0 2|0.7 183
2357 華碩|電腦及週|7 4 -8|71 79 -16 -20|0.5 585
2358 廷鑫|其他|-64 -56 -60|50 68 -16 -21|0.5 42
2359 所羅門|其他電子|49 22 -16|71 71 -22 -5|0.3 37
2360 致茂|其他電子|58 56 36|78 85 0 19|0.9 257
2363 矽統|半導體業|-76 -44 -44|66 74 -11 -20|0.5 24
2364 倫飛|電腦及週|-28 -5 -2|72 72 54 422|1.8 56
2367 燿華|電子零組|73 71 42|76 76 7 18|0.4 228
2368 金像電|電子零組|29 22 -7|85 85 -4 -3|0.9 1297
2369 菱生|半導體業|-36 -34 -30|51 66 -18 -28|0.7 7
2371 大同|電機機械|-14 -10 -11|81 85 -6 -6|0.4 179
2374 佳能|光電業|53 43 -22|64 78 -18 -6|0.3 11
2375 凱美|電子零組|-28 -30 -26|38 64 -21 -33|0.5 15
2376 技嘉|電腦及週|-31 -21 -21|66 92 14 -0|0.8 653
2377 微星|電腦及週|-32 -25 -30|71 88 2 -7|0.5 454
2379 瑞昱|半導體業|-2 3 -16|48 63 -20 -31|1.3 1153
2380 虹光|電腦及週|90 32 30|65 79 -14 15|0.2 5
2382 廣達|電腦及週|47 46 28|76 82 -15 -11|0.9 496
2383 台光電|電子零組|-5 -8 -22|55 65 -4 -26|1.5 433
2385 群光|電子零組|2 13 -2|93 93 2 6|0.6 144
2387 精元|電腦及週|16 22 16|80 90 8 14|0.5 21
2388 威盛|半導體業|58 39 6|66 70 -12 37|0.7 1688
2392 正崴|電子零組|30 25 13|84 89 6 9|0.5 32
2393 億光|光電業|-30 -28 -14|66 83 -6 -7|0.7 22
2395 研華|電腦及週|17 20 -1|76 83 -16 -6|1.4 247
2399 映泰|電腦及週|-10 -17 -24|51 76 -6 -17|3.6 15
2401 凌陽|半導體業|-34 -33 -32|58 66 -20 -27|0.4 44
2402 毅嘉|電子零組|54 30 22|100 100 26 32|1.3 79
2404 漢唐|其他電子|155 124 70|79 80 -4 -8|0.4 60
2405 輔信|電腦及週|-22 -15 -22|57 72 -15 -2|0.2 17
2406 國碩|光電業|4 -9 3|47 69 -19 -12|0.4 22
2408 南亞科|半導體業|-58 -54 -50|69 86 2 -11|1.0 820
2409 友達|光電業|-51 -50 -32|75 90 18 -2|0.9 1081
2412 中華電|通信網路|10 5 1|86 86 -10 -8|1.1 1050
2413 環科|電子零組|49 30 23|98 98 38 42|1.1 125
2417 圓剛|電腦及週|-5 -13 12|53 76 -8 -17|0.3 5
