theme_id,theme_name,bottleneck_layer,active_from,active_until,company_code,conviction,source_note,evidence_date,evidence_url,invalidation_criteria,review_by
covid_supply,COVID protective gear and testing,masks / gloves / thermometers / test kits,2020-02-01,2020-09-30,9919,4,"口罩國家隊 2020-01-31 成立(經濟部徵用+擴產),防疫物資供給硬缺口;成員=國家隊/檢測名單",2020-02-01,"backcast:contemporaneous coverage, see source_note",口罩產能過剩、出口解禁(2020-06 後產能過剩報導),
covid_supply,COVID protective gear and testing,masks / gloves / thermometers / test kits,2020-02-01,2020-09-30,1325,4,"口罩國家隊 2020-01-31 成立(經濟部徵用+擴產),防疫物資供給硬缺口;成員=國家隊/檢測名單",2020-02-01,"backcast:contemporaneous coverage, see source_note",口罩產能過剩、出口解禁(2020-06 後產能過剩報導),
covid_supply,COVID protective gear and testing,masks / gloves / thermometers / test kits,2020-02-01,2020-09-30,9103,4,"口罩國家隊 2020-01-31 成立(經濟部徵用+擴產),防疫物資供給硬缺口;成員=國家隊/檢測名單",2020-02-01,"backcast:contemporaneous coverage, see source_note",口罩產能過剩、出口解禁(2020-06 後產能過剩報導),
covid_supply,COVID protective gear and testing,masks / gloves / thermometers / test kits,2020-02-01,2020-09-30,3373,4,"口罩國家隊 2020-01-31 成立(經濟部徵用+擴產),防疫物資供給硬缺口;成員=國家隊/檢測名單",2020-02-01,"backcast:contemporaneous coverage, see source_note",口罩產能過剩、出口解禁(2020-06 後產能過剩報導),
covid_supply,COVID protective gear and testing,masks / gloves / thermometers / test kits,2020-02-01,2020-09-30,4736,4,"口罩國家隊 2020-01-31 成立(經濟部徵用+擴產),防疫物資供給硬缺口;成員=國家隊/檢測名單",2020-02-01,"backcast:contemporaneous coverage, see source_note",口罩產能過剩、出口解禁(2020-06 後產能過剩報導),
stay_home_tech,Stay-home NB/PC supply chain,NB assembly capacity,2020-04-15,2021-06-30,2382,3,"WFH/遠距教學 NB 急單,2020-04 Q1 法說與急單報導;成員=NB 代工四雄+品牌雙雄",2020-04-15,"backcast:contemporaneous coverage, see source_note",NB 出貨動能反轉(2021H2 需求正常化),
stay_home_tech,Stay-home NB/PC supply chain,NB assembly capacity,2020-04-15,2021-06-30,2324,3,"WFH/遠距教學 NB 急單,2020-04 Q1 法說與急單報導;成員=NB 代工四雄+品牌雙雄",2020-04-15,"backcast:contemporaneous coverage, see source_note",NB 出貨動能反轉(2021H2 需求正常化),
stay_home_tech,Stay-home NB/PC supply chain,NB assembly capacity,2020-04-15,2021-06-30,3231,3,"WFH/遠距教學 NB 急單,2020-04 Q1 法說與急單報導;成員=NB 代工四雄+品牌雙雄",2020-04-15,"backcast:contemporaneous coverage, see source_note",NB 出貨動能反轉(2021H2 需求正常化),
stay_home_tech,Stay-home NB/PC supply chain,NB assembly capacity,2020-04-15,2021-06-30,2356,3,"WFH/遠距教學 NB 急單,2020-04 Q1 法說與急單報導;成員=NB 代工四雄+品牌雙雄",2020-04-15,"backcast:contemporaneous coverage, see source_note",NB 出貨動能反轉(2021H2 需求正常化),
stay_home_tech,Stay-home NB/PC supply chain,NB assembly capacity,2020-04-15,2021-06-30,2353,3,"WFH/遠距教學 NB 急單,2020-04 Q1 法說與急單報導;成員=NB 代工四雄+品牌雙雄",2020-04-15,"backcast:contemporaneous coverage, see source_note",NB 出貨動能反轉(2021H2 需求正常化),
