cell,fold,cagr,sortino,mdd,boot_p5,boot_p50,n_trades
S00_baseline,F1,0.4998147084336062,2.7312093686232277,-0.2176611249899636,0.1808,0.5156,88
S00_baseline,F2,0.54562871186363,2.5621374268995285,-0.2986911032898125,0.1841,0.5606,125
S01_momentum_only,F1,0.4620164821319366,2.678540822199928,-0.218630622155683,0.1373,0.4743,88
S01_momentum_only,F2,0.56075097208931,2.8218740890673226,-0.3283589258278236,0.1487,0.568,129
S02_revenue_only,F1,0.4864875657614034,2.6323475328646277,-0.209121852155944,0.1973,0.5099,84
S02_revenue_only,F2,0.5508276697332402,2.722275073899254,-0.2868352610411627,0.1583,0.5696,120
S03_conviction_only,F1,0.4940767154249139,2.7133974940338,-0.2305005844109761,0.1788,0.5155,88
S03_conviction_only,F2,0.4951882106722329,2.552092325055609,-0.3613384467200009,0.1174,0.5199,129
S04_no_valuation,F1,0.5096937316643895,2.770486198103806,-0.2176611249899636,0.2098,0.5309,88
S04_no_valuation,F2,0.5593216690686753,2.649953973803851,-0.2854785343366932,0.1938,0.5726,121
S05_no_inst,F1,0.5002372024526667,2.731260577704695,-0.2176611249899636,0.1965,0.5212,88
S05_no_inst,F2,0.5255342875055709,2.4967998598867345,-0.3000993505552864,0.1615,0.534,125
S06_mom_conv,F1,0.4909969304371533,2.698789049003675,-0.2173535500918669,0.1671,0.5021,89
S06_mom_conv,F2,0.5261185350174387,2.58070273360889,-0.3390885266834996,0.1395,0.5403,125
S07_no_filters,F1,0.5202934146454878,2.7867965575113365,-0.2176611249899636,0.2229,0.5295,85
S07_no_filters,F2,0.5409726265290917,2.56693558912647,-0.2773688543459016,0.1965,0.5469,121
S08_role20,F1,0.5121686866233455,2.7763227800643233,-0.2287539438270064,0.2244,0.5319,87
S08_role20,F2,0.6199019287668637,2.9891460354731754,-0.2919162059654004,0.2148,0.6496,116
S09_role40,F1,0.4914484812656983,2.693855613869414,-0.2287539438270064,0.1788,0.5039,89
S09_role40,F2,0.5599913753538306,2.750950214303802,-0.3006766350870364,0.1857,0.5593,124
S10_fresh3_15,F1,0.5022906645013656,2.7435896552824515,-0.2173537011427678,0.1913,0.5096,88
S10_fresh3_15,F2,0.5673124821026072,2.6949747140331395,-0.2984186571777766,0.1704,0.5779,124
S11_fresh6_15,F1,0.5008224265148697,2.7308071296544796,-0.218795649967879,0.1875,0.5042,88
S11_fresh6_15,F2,0.6044215395474843,2.8225115013937936,-0.2996682618004739,0.186,0.6149,134
S12_fresh12_10,F1,0.5031698178066775,2.740823843250702,-0.218795649967879,0.198,0.517,88
S12_fresh12_10,F2,0.5782455590629583,2.6684094310646853,-0.300936452263003,0.1913,0.5947,130
S13_role20_fresh6,F1,0.4959221477997715,2.6585582499992144,-0.2177367515070997,0.1655,0.5091,88
S13_role20_fresh6,F2,0.5953473387726971,2.7889329183026663,-0.3010625141738615,0.1864,0.5989,123
